Sem localidade
- SUBSOLO - SEDE
ANEXO I - SARQ
LEILÃO 2019
RECOLHIMENTO 2019
SALA 431 SEDE CHEFIA
SALA DE SERVIÇOS GRÁFICOS
RECOLHIMENTO
GALPÃO 02 CGAD SPS SEAL..
DEPÓSITO/DOCUMENTOS
SALA 04 - ANEXO II - OFICINA DE PARAQUEDAS
SALA 05 - ANEXO II - MERGULHO
GALPÃO 01 CGAD SPS SEAL
 (13.91.15.1 )SALA 15.1 - DEPÓSITO - COT/DIREX/PF (1391) 
ARQUIVO DO SINIC/DCRIM/INI/DPA/PF
SALA ADMINISTRAÇÃO MATERIAL - SPO
SETOR DE ALMOXARIFADO
RECOLHIMENTO - 2024
DESFAZIMENTO TIC 2021 - DEPOSITO SEAL
SALA 11 - DPMO
RECOLHIMENTO ANUAL
SUBSOLO - ALA B
DESFAZIMENTO MOBILIÁRIO MUDANÇA
ARQUIVO DPAS
BENS NÃO LOCALIZADOS
COPA
DEPOSITO DICINT(NA DSG)
RECEPÇÃO GARAGEM SUBSOLO
ALOJAMENTO MASCULINO PLANTÃO SEDE
MANUTENÇÃO ELÉTRICA/AED 1º SUBSOLO
DEPÓSITO
SALA 06 ARQUIVO I  2º SUBSOLO
SALA 01 B 2º SUBSOLO DCIM
SALA C-413 ED. MULTICORPORATE
DIRETOR GERAL DO DPF
SALA DE DESCANSO/DSG
ALOJAMENTO DO PLANTÃO
DEPOSITO DA COPA SES/CRH
DESPACHANTE
SALA 30 - SALA DE QUADROS
SALA 08 ARQUIVO III 1º SUBSOLO
PAIOL
SALA 106 AED
ARQUIVO SUBSOLO CGPI
109 SEDE - MANUTENÇÃO ELÉTRICA/AED 1º SUBSOLO 
CGCS - RECOLHIMENTO SEDE ANTIGA
SECRETARIA COREC
BOXES GALPÃO
- SUBSOLO - SEDE -
MARCENARIA
COFRE 2º SUBSOLO
ARQUIVO 2 SUBSOLO
SIMED
DESATIVADO 28
 (281 DSG )LAVANDERIA - SAIN/DSG/COAD/DLOG/DPF (1338) 
DEP. CTI - REDISTRIBUIÇÃO
SALA 06 CGAD SPS - SEFAC/DICON
SALA TERCEIRIZADOS LIMPEZA
CASA DE PEÇAS
FAVELA
CHEFIA/SECRETARIA
SERVIÇO DE CADASTRO
BANHEIRO CHEFIA
CASA DE MÁQUINAS/SETRAN
SALA 10 - DPMO
SETOR DE COMUNICAÇÕES/COT
RECOLHIMENTO SEDE ANTIGA
SALA B-1010 ED. MULTICORPORATE
SALA D-500 ED. MULTICORPORATE - COPAS
APOIO DO GABINETE
SALA C-300 ED. MULTICORPORATE - COPAS
CGRH - RECOLHIMENTO SEDE ANTIGA
SALA 07 ARQUIVO II SUBSOLO
CHEFE DE OPERAÇÕES
11B
RECOLHIMENTO SEDE ANTIGA - GAB/DG/PF
SALA_TERCEIRIZADOS_LIMPEZA
LIMPEZA/AED 1º SUBSOLO
ASSESSORIA I
ALOJAMENTO FEMININO (MEZANINO) SEDE
BENS A RECOLHER
SALA 05 - COPA DO HANGAR
COGER - RECOLHIMENTO SEDE ANTIGA
AUDITÓRIO
RECEPÇÃO ED. SEDE
ARQUIVO
DEPÓSITO SIMED 2019
BENS NÃO LOCALIZADOS CAOP
DEPOSITO SUBSOLO SALA 03 SPDE/DSDE
CASA DE TESTEMUNHAS 07
DEPÓSITO SUBSOLO CGDI
CASA DE TESTEMUNHAS 02
SALA DT-07 ED. MULTICORPORATE - REFEITÓRIO
TRANSPORTE/COT
BENS NÃO LOCALIZADOS 
CASA DE TESTEMUNHAS 06
CASA DE TESTEMUNHAS 08
SALA D-1300 ED. MULTICORPORATE - COPAS
SEGURANÇA DE VÔO
BENS A BAIXAR
SEDE DAS CASAS SPDE
ANEXO II - SARQ
