DPF/PHB/PI 11.02 - FTNIS
UIP - MANOEL AUGUSTO L. FREIRE NETO
GPI/DREX/SR/PF/PI
NUMIG/DPF/PHB/PI
 (GABINETE CHEFE )GABINETE CHEFE DA DPF/PHB/PI - DPF/PHB/PI (1102) 
NÚCLEO DE IDENTIFICAÇÃO/DREX
DELEPREV-NO-SALA 02
NUCLEO DE OPERAÇÕES
 (105PI )NUCLEO DE TECNOLOGIA DA INFORMAÇÃO - NTI/SR/PF/PI (2047) 
 (191PI-V )NOVO RECOLHIMENTO - NUMAT/SELOG/SR/PF/PI (2042) 
RECOLHIMENTO PARA DOAÇÃO 2022
RECOLHIMENTO
NTI FÍSICO-BENS PARA DESFAZIMENTO
DELEFAZ E-15-CARTÓRIO
SIP-SALA G-13
(TI)
 (219PI )NO/DRE - DRE/DRCOR/SR/PF/PI (2032) 
UNIDADE DE TRANSPORTE - UTRAN/SELOG/SR/PF/PI
SETOR DE ARMAMENTO/GAT/DREX/SR/PF/PI
GAT/DREX/SR/PF/PI
NÚCLEO OPERACIONAL - SIP
ÁREA PARA MUSCULAÇÃO
AREA DE MUSCULAÇÃO
UAMB/SR/PF/PI
DEPOSITO - MARIA DAS GRACAS BRITO DA COSTA
DEPÓSITO ANEXO-GAT/DREX/SR/PF/PI
NÚCLEO DE OPERAÇÕES - NO
SECRETARIA DO GAB/PHB/PI - MARIA DAS GRACAS B. DA COSTA
DELEGACIA 06 - DPF DAVI SOBRAL
SECRETARIA/DREX/SR/PI
RECOLHIMENTO (PARA DOAÇÃO)
SETOR DE GESTÃO DE PESSOAS
RECOLHIMENTO (LOCALIZADO)
(2044 - GPLOC )SETEC - SETEC/SR/PF/PI (2044)
ALMOXARIFADO
NUCLEO DE TRANSPORTE - NUTRAN/NUMAT/SELOG
OFICINA - UTRAN
SETEC
GPLAB
 (2044-04 )GPENG - SETEC/SR/PF/PI (2044) 
GPMA
LABORATÓRIO PERICIA GERAL
SALA DE AUDIÊNCIA DE CUSTÓDIA
SALA NTI/DPF/PHB - DJALMA
124 PI SALA - CHEFIA
GPDOC
DELEGACIA DA POLICIA FEDERAL EM PARNAIBA/PI
SALA CHEFIA/NUMAT
GAB DELEFAZ - E-18
GBE
NO DELECOR-SALA F-19
 (2047PI )NTI FÍSICO - NTI/SR/PF/PI (2047) 
SEC/GAB/DRPJ
RECOLHIMENTO 2017 - XIX
NO/DELEPAT
CANTINA
NUCLEO DE EXECUÇÃO ORÇAMENTARIA E FINANCEIRA
NUCLEO DE TRANSPORTE DPF/PHB/PI
SETOR DE PROTOCOLO
AUDITÓRIO DA DPF/PHB/PI
Sem localidade
DELEPAT/CARTÓRIO
DELEPREV-G-19-CART
GABINETE CORREGEDORIA 
RECOLHIMENTO/INFORMATICA
F14-DELECOR
CARTORIO/DELINST
CHEFIA DO NUPROC/DRPJ/SR/PF/PI
UID 01 - UNIDADE DE IDENTIFICAÇÃO
AIRTON
DELEFAZ E-14
PREFEITURA
VESTIÁRIO
PLANTÃO/AEROPORTO
SETOR DE PLANTAO
NO/DMA/DRPJ/SR/PF/PI
RECEPÇÃO DPF/PHB/PI
DELEGACIA 04 DPF CARLOS ALBERTO
MATERIAIS PARA BAIXA (DESTRUIÇÃO)
PREFEITURA - REFEITÓRIO
NO/DELECOR-SALA G-05
SALA GAB/NUCOR
CAU/ATENDIMENTO PÚBLICO
CONTRATOS SELOG
SHOPPING RIO POTY
DELEAQ-SALA 04
 (128PI )NUCLEO DE CARTORIO - NUCART/DRCOR/SR/PF/PI (111605) 
F13-CARTÓRIO DELECOR
CARTÓRIO DRCC - SALA E-20
GAB-DRPJ-DELEGACIA REGIONAL DE POLÍCIA JUDICIÁRIA
GAB DELECOR-SALA F-21
SALA CONVIVÊNCIA-COR
SIP-GAB-SIP/SR/PF/PI-G-14
GABINETE DA SUPERINTENDENCIA
GAB DELECOR-SALA E-05
GPCONT
GAB-DMA/DRPJ/SR/PF/PI
AUDITORIO
GPINF
DELEPREV-CHEFIA - SALA H 01
GAB DELEFAZ-SALA E-16
FORÇA TAREFA 2
GAB DELECOR-SALA G-07
CHEFIA/DELEPAT
NO DELEFAZ - SALA E-12
GPAEL
NO DRCC -SALA E-19
CHEFIA DELEAQ
CARTÓRIO DELEFAZ - SALA E-11
CART DELEFAZ- E-17-DPF REINALDO
SECRETARIA DA CORREGEDORIA
UCI
LICITAÇÃO
UNIDADE DE GESTÃO ESTRETÉGICA -UGE/SR/PF/PI
 (240PI )CARTORIO-DELEPREV - DELEPREV/DRCOR/SR/PF/PI (111601) 
DPF EDILBERTO/DELEPREV - G-20
CART DELECOR-SALA F-20
CARTAS PRECATÓRIAS - CP/COR/SR/PF/PI
CART DELECOR-SALA G-06
SALA 03 - DELESP
 (125PI )CHEFIA DRE - DRE/DRCOR/SR/PF/PI (2032) 
CARTÓRIO/DMA/DRPJ/SR/PF/PI
CARTÓRIO DELEFAZ - SALA E-13
SELOG/SR/PF/PI
E-05-DELINST-DPF OLEGÁRIO
CARTÓRIO DRPJ - SALA F-13
 (2026 - 102 )CONFORMIDADE DE GESTÃO - SR/PF/PI (2026) 
DELEPREV-G-18-CHEFIA
RECOLHIMENTO (NÃO LOCALIZADO)
CHEFIA CAU/DELEMIG
NAD/SR/PF/PI
RECOLHIMENTO/INFPRMÁTICA 02
GUARITA DE VIGILÂNCIA
GABINETE/DELECOR-SALA G-03
SIP-ÁREA DO SERVIDOR REDE-G-11
SALA SERVIDOR DE REDE
 (DELEGACIA 03 - NIVALDO )DELEGACIA 03 - NIVALDO FEITOSA DOS SANTOS - DPF/PHB/PI (1102) 
NO/DELEFAZ - SALA E-10
DELECOR - GAB - G 15
NPA-NÚCLEO DE POLÍCIA ADMINISTRATIVA
DELEGACIA 02 - MARCOS ROBERTO COSTA DOS SANTOS
SALA INSS - GPREV
GUARITA 2
GUARITA 1
DPF/PHB FTNIS II
COPA
NA/DRE
GAB DRCC - SALA E-21
CARTÓRIO DRE - SALA F-15
125  PI NO/DELINST
DELEGACIA 01 - ARTHUR EMILIO B. MACHADO ALVES
CART DELEPREV-SALA G-18
SALA DPF ALBERT
PLANTÃO AEROPORTO/NO/DREX
SALA DE REUNIÕES
SIP-SALA DE REUNIÕES - G-12
GRUPO DE POLÍCIA AEROPORTUÁRIA - GPAER/DREX/SR/PF/PI
SETOR DE ARMAMENTO NO/DREX/PI
NÚCLEO DE ARMAMENTOS
BENS A DISTRIBUIR
SALA MONITORAMENTO DEPÓSITO DNIT
DELEAQ - ATENDIMENTO
CHEFIA - NÚCLEO DE IDENTIFICAÇÃO
NUMAT - BENS A DISTRIBUIR
DELEGACIA 05
SECRETARIA DE COMUNICAÇÃO SOCIAL
RECEPÇÃO/ATENDIMENTO AO PÚBLICO
NUCLEO DE REGISTRO DE ESTRANGEIRO-NRE
DEPÓSITO 2
(COPA - DELESP)
PHB CORREDORES - MARIA DAS GRACAS BRITO DA COSTA
GAB/DREX/SR/PI
DELEAQ-SALA 02
DELECOR/DRCOR/SR/PF/PI
NTI - BENS A DISTRIBUIR
SIP - ÁREA DE CONVIVÊNCIA - G-10
NA DELECOR-SALA G-04
SALA CHEFIA - SHOPPING RIO POTY
ÁREA DE CONVIVÊNCIA 2
GAT/NO/DREX/SR/PI
FTNIS
URE-UNIDADE DE REGISTRO DE ESTRANGEIRO
ÁREA DE CONVIVÊNCIA 1
FORÇA TAREFA - NUINT
FICCO/DRPJ/SR/PF/PI
GTO/DREX/SR/PF/PI
SALA CHEFIA NO
GAB DRPJ - SALA F-14
UID 02 - UNIDADE DE IDENTIFICAÇÃO - PPF ARMANDO
PLANTÃO/AEROPORTO/NO/DREX
GTED
FISCON
GAB/DELEFAZ
