(INATIVAR) MARINGA - 1001
COMISSÃO DE BAIXA SRPR 2024
SGP - SALAS 306/307 - 1868
SETEC - SALA 01 - 1866
NUCLEO ADMINISTRATIVO - NAD/DPF/PGZ/PR
SL S3 - RECARGA
NO/DREX - SALA S04 - ESTANDE DE TIRO - 1215
NO/DREX - SALA 220 - 1215
NID/DREX - SALA 33 - 184603
GAB - PRÉDIO GISE/CURITIBA - 1845
DELEMIG - SALA TRIAGEM ATENDIMENTO - 1847
NUCLEO OPERACIONAL - NO/DPF/PGZ/PR
SEC/GAB/DPF/PGZ/PR - SECRETARIA DOS GABINETES
SALA SERVIDOR DE DADOS DA DPF/PGZ/PR
DRE - SALA 335 - 1854
COPA 1 DA DPF/PGZ/PR
DELEFAZ - SALA 250 - 121702
PNG/NAD - SALA 003 - AUDITÓRIO - TÉRREO - 187403
NPA/DPF/PGZ/PR- SEGURANÇA PRIVADA E PRODUTOS QUÍMICOS (SALA NO 2º ANDAR)
NUARM/DPF/PGZ/PR - NUCLEO DE CONTROLE DE ARMAS
DELESP - COPA 02 - TÉRREO - 1856
DELEMIG - SALA 26 - ATENDIMENTO DE ESTRANGEIROS - 1847
PNG/NAD - DEPÓSITO - 2º ANDAR - 187403
SALA APOIO 1 - GTIC/DPF/PGZ/PR
NTI - ST23 - SALA TÉCNICA 2º ANDAR - 1869
NCI - SALA 312 - 184519
COPA 2 DA DPF/PGZ/PR
DELEMIG - SALA 31 - NO - 1847
SETEC - SALA 144 - 1866
LDA - INSTALACAO GISE - 1872
DELESP - SALA 70 - CHEFIA - 1856
SETEC - SALA 102 - 1866
DELEARM - SALA 66 - ATENDIMENTO AO PÚBLICO - 184601
NPA/DPF/PGZ/PR - PASSAPORTE E ESTRANGEIRO (SALA TÉRREO)
SELOG - SALA S11 - PREFEITURA - LIMPEZA-SECRETARIA E REFEITÓRIO - 1862
(INATIVAR) COMISSÃO DE BAIXA PATRIMONIAL - PORTARIA 981/2018-GAB/SR/PF/PR
SELOG - SALA 323 - FISCON - 1862
SETEC - SALA 03 - 1866
DELEMIG - SALA 25 - ATENDIMENTO DE ESTRANGEIROS - 1847
MGA - SALA 156 - 184503
MGA - BENS A DISTRIBUIR - 184503
NUCLEO DE ANÁLISE - NA/DPF/PGZ/PR
SALA DE APOIO 3 - SALA DE FLAGRANTES
 (122609.3 )GABINETE 2 DA DPF/PGZ/PR - DPF/PGZ/PR (122609) 
DEPOSITO GERAL DA DPF/PGZ/PR NO SUBSOLO
SELOG - SALA 79 - SALA TELEFONISTA - 1862
PROTOCOLO DA DPF/PGZ/PR
NUCLEO DE ANÁLISE - NA/DPF/PGZ/PR - SALA 2
LDA/NUTEC - SALA 116 - NUTEC - 187201
NUPROC/DPF/PGZ/PR - CARTÓRIO
DREX - SALA 207 GPI - 1846
(INATIVAR) BENS MÓVEIS PARA DOAÇÃO
SALA APOIO 2 DA DPF/PGZ/PR
SETEC - SALA 147-A - 1866
SETEC - SALA 145-A - 1866
SETEC - SALA 08 - 1866
DELEPAT - SALA 276 CHEFIA - 1218
SETEC - SALA 112 - 1866
SETEC - SALA 145 - 1866
SETEC - SALA 139 - 1866
SETEC - SALA 114 - 1866
DELEARM - SALA 58 - CHEFIA - 184601
SETEC - SALA 125 - 1866
NTI - SALA 45 - 1869
SL 46
BENS RECOLHIDOS
DPF/PNG/PR
GAT/DREX/SR/PF/PR
DRE - 141
MGA - DEPÓSITO ARMAS - 184503
MGA - SALA CRIMES CIBERNÉTICOS - 184503
NTI - RADIOS PARA BAIXA PATRIMONIAL - 1869
COMISSÃO REGIONAL DE LEILÃO - PORTARIA 296/2015-GAB/SR/DPF/PR (INATIVADO)
PNG/NEPOM - OPERAÇÕES INTEGRADAS - 187401
GISE/MGA
BENS NÃO LOCALIZADOS - DRE/SR/PR
LDA/NO - SALA 215 - GAT - 187209
DREX - SALA GAT - ARMAMENTOS E EQUIP DE PROTEÇÃO - 1846
Sem localidade
187405 - SL 007 - SALA DE ARMAS - 1º ANDAR
MGA - SALA 116 - NID - 184503
MGA - SALA 142 - ANÁLISE - 184503
(INATIVAR) SALA 150
(INATIVAR) COMISSÃO LEILÃO PORTARIA 1214/2019
MGA - BENS ACAUTELADOS (EXCETO ARMAS) - 184503
SELOG - UTRAN - GALPÃO DE VEÍCULOS PARA LEILÃO/DEVOLUÇÃO/RECOLHIDOS-HAUER - 1862
(INATIVAR) LONDRINA - 4002
MGA - SALA 12 - GEPOM - 184503
(INATIVAR) BASE DE UMUARAMA
MGA - SALA 144 - ANÁLISE - 184503
NUCLEO DE ARMAMENTO E TIRO - NAT/DPF/PGZ/PR
LDA - SALA 234 - ANALISE - 1872
EQUIPE DE INVESTIGAÇÃO 3 DA DPF/PGZ/PR
GPB - SALA 35 - 1871
PNG/NAD - SALA 013 - ALMOXARIFADO - 1º ANDAR - 187403
SETEC - SALA 124 - 1866
DELEPREV - SALA 256 - 121701
NUPAG - SALA 305 - 186801
SELOG - DEPÓSITO - 3º ANDAR - 1862
NTI - ST06 - SALA TÉCNICA TÉRREO - 1869
COR - SALA 179 - 1859
NTI - ST12 - SALA TÉCNICA 1º ANDAR - 1869
LDA - SALA 212 - ANALISE - 1872
NO/DREX - SALA 34 - PLANTÃO / HALL DE ENTRADA - 1215
PNG/NEPOM - SALA DELEGACIA - 187401
PNG/NEPOM - DEPÓSITO NEPOM (ATRÁS DOS VIGILANTES) - 187401
NTI - ST11 - SALA TÉCNICA 1º ANDAR - 1869
(INATIVAR) DPF/GPB/PR
ARMAS
(INATIVO) DRE - PRÉDIO GISE/CURITIBA - 1845
MGA - SALA 132 - DELEGADO - 184503
SETEC - SALA 101 CHEFIA - 1866
MGA - SALA 137 - COMISSÃO DE VISTORIA - CV - 184503
SL - SAL/NO/DREX/SR/PF/PR
GPB/NAD- ALMOXARIFADO LIMPEZA NAD - 187111
SELOG - SALA 49 PROTOCOLO - 1862
NUPROC-DRPJ - DEPÓSITO S01 - OPERAÇÕES - 121705
SR - SALA 64 - SALA DE REUNIÃO - 1845
SELOG - SALA S20 - PREFEITURA- MANUTENÇÃO - VESTIÁRIO E LAVA CARROS - 1862
"PNG/NPA - SALA 002 - PASSAPORTE, MIGRAÇÃO, QUÍMICOS, SINARM - TÉRREO - 187406"
GPB/NAD - SALA CORREDORES - 187111
DELEMIG - RECEPÇÃO TÉRREO - ESTRANGEIRO - 1847
SETEC - SALA 156 - DOCUMENTOSCOPIA - 1866
COMISSÃO PORTARIA 061/09-GAB/SR/DPF/PR (FINALIZADA/INATIVA)
DELEFAZ - SALA 264 - CHEFIA - 121702
GPB/NO - SALA 27 - NO - 187102
NO/DREX - SALA 168 CUSTÓDIA - 1215
SR - SALA 315 - SECRETARIA/GAB - 1845
GPB/NAD - SALA COPA - 187111
NUPROC-DRPJ - SALA 184 CHEFIA - 121705
NUPROC-DRPJ - SALA 183 - 121705
GPB/NPA - SALA 08 - CV - 187112
SIP - SALAS 4º ANDAR - 1867
GPB/NUPROC - SALA 09 - NUPROC - 187105
SR - SALA 311 - COMUNICAÇÃO SOCIAL / CS / SALA DE IMPRENSA - 1845
SETEC - SALA 104 SECRETARIA - 1866
(INATIVAR) DREX - SALA 252 - SCDP - 1846
(INATIVAR) SELOG - 301
SELOG - SALA S22 - UTRAN - 1862
NUPROC-DRPJ - SALA 185 SECRETARIA - 121705
SELOG - PREFEITURA VIGILANTES CHURRASQUEIRA SR - 1862
PNG/NEPOM - BASE CARIJÓ - 187401
SETEC - CONTAINERES SR/PF/PR - 1866
PNG/NUPROC - SALA 014 - ARQUIVO - 1º ANDAR - 187404
SELOG - SALA VIGILANTES - ARQUIVO - GUARITA HAUER - 1862
NUPROC-DRPJ - SALA 247 DEPÓSITO - 121705
SETEC - SALA 163 - LABORATORIO DE QUIMICA - 1866
DREX - SALA 37 - FLAGRANTES - 1846
SETEC - INSERVÍVEIS - 1866
COMISSÃO BAIXA PORTARIA 112/2013-GAB/SR/DPF/PR
SL 33 - NID 
SELOG - PREFEITURA AREA EXTERNA E GUARITAS SR - 1862
DELESP - SALA 74 - DEPÓSITO - 1856
NID/DREX - SALA 121 - DEPÓSITO - 184603
SETEC - SALA 115 - 1866
SR - SALA 317 - GABINETE/SR - 1845
SETEC - SALA 162 - LABORATORIO DE QUIMICA - 1866
PNG/NUPROC - SALA 025 - NUCART - 1º ANDAR - 187404
DELEFAZ - SALA 216C - 121702
NUPROC-DRPJ - SALA 154 ARQUIVO - 121705
DEAIN - SALA PRINCIPAL - AEROPORTO AFONSO PENNA - 184612
GPB/NUPROC - SALA 10 - NUPROC - 187105
DELEFAZ - SALA 274 - 121702
PNG/NAD - SALA 005 - COPA - TÉRREO - 187403
GPB/NO - SALA ARMAS - 187102
DELINST - SALA 248 - 121704
(INATIVAR) BENS NÃO LOCALIZADOS - SL 311 - COMUNICAÇÃO SOCIAL
PNG/NEPOM - SALA DE OPERAÇÕES NEPOM - 187401
DELESP - 113
DREX - SALA 204 SECRETARIA  - 1846
SL ST 25
SR - SALA 84 - SAM / SERVIÇO SOCIAL - 1845
SETEC - SALA 149 ALMOXARIFADO - 1866
DELEARM - ST 05 - ARQUIVO SALA TÉCNICA - 184601
SETEC - SALA 140 - 1866
SELOG - PREFEITURA - AR CONDICIONADO - TERRAÇO - 1862
DELESP - SALA 71 - 1856
NUMAT - SALA 325 - 1864
SELOG - SALA 320 - ARQUIVO - 1862
COR - SALA 134 DEPÓSITO - 1859
GPB - SALA 31 - DPF - 1871
DMA - SALA 233 - 121703
(INATIVAR) UAMB - 343 (INATIVAR)
SCPQ - SALA 63 - 184611
DELEFAZ - SALA 268 - 121702
GPB/NO - SALA 30 - 187102
GPB/NAD - SALA 02 - NAD - 187111
COR - SALA 106 - CHEFIA E SECRETARIA - 1859
PNG - SALA 018 - SECRETARIA - 1º ANDAR - 1874
DELINST - SALA 251 - 121704
PNG/NEPOM - VIGILANTE - 187401
PNG/NAD - GARAGEM - EXCETO VIATURAS - TÉRREO - 187403
NUCART - 263
SR - SALA 327 - UGE - 1845
DRPJ - SALA 213 - 1217
NTI - SALA 39 - 1869
BENS A LOCALIZAR
SETEC - SALA 138 - 1866
SETEC - SALA 10 - 1866
DELESP - SALA 73 - 1856
GPB - CORREDOR GABINETE - 1871
DELEPAT - SALA 281 - 1218
DRPJ - SALA 214 - CHEFIA E SECRETARIA - 1217
NEOF - SALA 322 - 1863
DRE - SALA 236 - 1854
(INATIVAR) BENS NÃO LOCALIZADOS - DELEFAZ/SR/PR
(INATIVAR) DEPÓSITO DE DESFAZIMENTO HAUER
SETEC - SALA 155 - 1866
SETEC - SALA 158 - 1866
GPB/NUPROC - SALA 01 - NUPROC - 187105
GPB - SALA 23 - DPF - 1871
GPB - SALA GABINETE CHEFE - 1871
