LOTE08/LEILÃO2018/AM
SALA DOAÇÃO RECICLA MANAUS
DEPOSITO1/SELOG/NAD/DPF/TBA/AM
DOAÇÃO-EXÉRCITO2021(2º GPT E)/SR/PF/AM
LOTE03/LEILÃO2018/AM
DOAÇÃO PROMENOR DOM BOSCO
NÚCLEO DE ANÁLISE - NA/DPF/TBA/AM
SALA DE EQUIPAMENTOS/DRE
DOAÇÃO-IML2021/SR/PF/AM
ÁREA EXTERNA/CIAPA
BENS A DISTRIBUR
Sem localidade
ARMAMENTO/GPI/DREX/AM
ARMAMENTO/GAT/DREX/AM
RECLASSIFICAÇÃO2019
CARTAS PRECATÓRIAS
ESCRITÓRIO/NEPOM
PREDIO NUMAT/SELOG/SR/PF/AM
GABINETE/SR/AM
GPI/DREX/SR/PF/AM
GAT - GRUPO DE ARMAMENTO E TIRO
COLETES/DESFAZIMENTO/GAT
SIP 1
OFICINA
DEPOSITO
1ºPAV/GISE/DRE/AM
NO/DMA
RECOLHIMENTO/NAD
SUPORTE
DOAÇÃO-UFAM2021/SR/PF/AM
GABINETE PRINCIPAL
GEPOM/DPF/TBA/AM
CHEFIA/NTI
DOAÇÃO-CBMAM2021/SR/PF/AM
MANUTENÇÃO
08240.005697/2024-70/ LEILÃO 2024
ADMINISTRAÇÃO/CIAPA
"EQ, PROTEÇÃO/DPF/TBT/AM"
SALA DE ARMAS - NEPOM
VEICULOS/UTRAN/SELOG/SR/PF/AM
NO/DRE
EMBARCAÇÕES/DPF/TBA/AM
LOTE09/LEILÃO2019/AM
TBA - EMBARCAÇÕES
BENS PARA DOAÇÕES
ALMOXARIFADO/NEPOM
ÁREA EXT/SELOG/AM
LOTE09/LEILÃO2018/AM
08240.005560/2023-34 (DOAÇÃO PRÓ MENOR 2023)
08240.002575/2023-41 EDUCANDÁRIO GUSTAVO CAPANEMA
COPA/DREX/AM
POSTO AVANÇADO DA PF EM TEFÉ/AM - POSTO
BENS NÃO LOCALIZADOS
CASA FUNCIONAL 2
ARQUIVO GERAL
CENTRAL TEMP. DE VESTÍGIOS/SETEC
CHEFIA/UTRAN/SELOG/SR/PF/AM
ÁREA EXTERNA/UTRAN
GARAGEM/OFICINA/NUTRAN/NAD
POSTO AVANÇADO DA PF EM SÃO GABRIEL DA CACHOEIRA/AM - POSTO
ALOJ-01/DPF/TBA/AM
NUCART/DPF/TBA/AM
CENTRO DE TRIAGEM DE NOTÍCIAS DE FATO-DPF/TBA/AM
GAB.DELESP/A110
DEP/NUCART/AM
ESCRITORIO-MANAUS/CIAPA
*** MIGRACAO (SR/DPF/AM) -> SAED-SERVICO DE ADMINISTRACAO DE EDIFICIO
CASA FUNCIONAL 1
VEST-REF MASC/SELOG/AM
COPA/DRE
LOTE12/LEILÃO2019/AM
CHEFIA NPAER/DELEMIG
PLANTÃO/NO/DREX
GTED-UGE/SELOG
NO/DREX 1
IMIGRAÇÃO/PASSAPORTE
VEST-REF FEM/SELOG/AM
CHEFIA/SELOG/NAD/DPF/TBA/AM
DEPOSITODEMATERIASDELIMPEZA(DML)/SELOG/AM
BASE ANZOL
GAB/SGP
SGP/NUPAG A-210
OP. AMAZÔNIA - ADMINISTRAÇÃO
COZINHA/REFEITORIO
OFICINA/CIAPA
DEPOSITO/SINARM
(A-104) PROTOCOLO/SELOG/SR/PF/AM
ARQUIVO SECRETARIA - SETEC B-218
ALMOXARIFADO/NAD
(B-112) CI/CPD/SIP/SR/PF/AM
RECOLHIMENTO/NAD/SR/AM
ALOJAMENTO(MENOR)/TBA/AM
ASSESSORIA/GAB/SR/AM
GABINETE/SIP
LOG/NUCART/AM
COPA/SIP
*** MIGRACAO (SR/DPF/AM) -> NID-NUCLEO DE IDENTIFICACAO
IDENTIFICAÇÃO HUMANAS/GID
CHEFIA/SETEC
ARMARIA/GPI/DREX
FORÇA TAREFA/DELEPREV
ALOJ. ALUNOS/CIAPA
SALA DE REUNIÕES - DRE/DRPJ/SR/PF/AM
ALOJAMENTO GISE
FLUTUANTE/NEPOM
(A-213) NUDIS/COR/SR/PF/AM
*** MIGRACAO (SR/DPF/AM) -> SERAM-SERVIO REGIONAL DA AMAZNIA / MANAUS
INFORMATICA
AREA TOTAL UTRAN/SELOG/SR/PF/AM
*** MIGRACAO (SR/DPF/AM) -> SERAM-SERVIO REGIONAL DA AMAZNIA / TABATINGA
FLAGRANTE/DRCOR
SEC/DELINST
NO/DELEFAZ
SALA DOS MOTORISTAS - UTRAN
CARTÓRIO/DRE
SEC/DMA
LOTE04/LEILÃO2018/AM
DEPÓSITOS - CIAPA
DESFAZIMENTO/CIAPA
POSTO AVANÇADO DA PF EM SANTO ANTONIO DO IÇA
GUARITA/NO/DREX
*** MIGRACAO (SR/DPF/AM) -> NUCLEO DO DPF EM LABREA
NAD-NUCLEO ADMINISTRATIVO/DEPOSITO
VESTIÁRIO-UTRAN
GAB/NUCART/AM
CONFORMIDADE/SR/AM
A228 - SALA DE REUNIÃO /GAB/SR
OFICINA/NEPOM
COM/FN - TABATINGA
ESTOQUE
APF ARMINDO
GABINETE2/DRE
LOTE03/LEILÃO2019/AM
EMBARQUE/AEROPORTO
ALOJAMENTOS
GP MEIO AMBIENTE2/SETEC
COZINHA - NEPOM
UADIP 3/SIP
ALOJAMENTO/DRE
CASA NOBREAK-GERADOR/SELOG/AM
SEC/DELEMIG
COPA - SETEC
NEOF/SELOG/SR/PF/AM
PÁTIO/AREA EXTERNA/GUARITA
COPA/ALOJAMENTO/UTRAN/NAD
GISE/INTELIGÊNCIA
NID/DREX
ESCRITÓRIO/GID
C-208
ALOJAMENTOS/NEPOM
NO/DPF/TBA/AM
C-121 DMA/GAB 3
DEPOSITO1/NEPOM
ALOJ. PROFESSORES/CIAPA
*** MIGRACAO (SR/DPF/AM) -> PERMANENCIA DO PLANTAO
NPAER/DELEMIG/DREX/SR/PF/AM
ALOJ-02/DPF/TBA/AM
LOTE13/LEILÃO2018/AM
*** MIGRACAO (SR/DPF/AM)-> SERAM-SERVIÇO REGIONAL DA AMAZNIA / TABATINGA -> BEN
UNIDADE DE INTELIGÊNCIA POLICIAL - UIP/DPF/TBA/AM
*** MIGRACAO (SR/DPF/AM) -> DRE/EIP-DELEGACIA DE REPRESSAO A ENTORPECENTES
GAB2/DELEFAZ
DESEMBARQUE/AEROPORTO
ARMAMENTO/DPF/TBT/AM
08240.002165/2023-08 - TEFÉ / ASSOCIAÇÃO DE CATADORES
ÁREA EXTERNA
08240.011799/2023-43 - PROMENOR/OUTUBRO 2023
OFICINA/DPF/TBA/AM
COPA/NAD/DPF/TBA/AM
SERVIÇO REGIONAL DA AMAZÔNIA/TABATINGA
ALOJ-03/DPF/TBA/AM
ACADEMIA/DPF/TBA/AM
PLANTÃO/DPF/TBA/AM
GP DE AUDIOVISUAL/SETEC
NO/DELEMIG-NO/DELESP
GAB2/DMA
COPA/SELOG/AM
DEPÓSITO/NAD
*** MIGRACAO (SR/DPF/AM) -> UNIDADE DE PROJETOS ESPECIAIS CONFRON MELO FRANCO
SEC2/CART/DELECOR
SEC/DELEFAZ
ALOJAMENTO ADMINISTRATIVO
SALA DE MANUTENÇÃO 2
UADIP 2/SIP
SALA24/DPF/TBA/AM
DELESP
DELEGADOS - SALA 01 - DPF/TBA/AM
GABINETE1/DRE
SECRETARIA/SETEC
CASA 10 - FICCO
GABINETE/DPF/TBA/AM
GAB/DELEPAT
NO/DELINST
GAB/NO/DREX
LAB.  INSTRUMENTAL ANALITICO/SETEC
SEC/CART/DELECOR
ALOJAMENTO2/DRE
ARM-UCPQ/DELEAQ
GP MEIO AMBIENTE/SETEC - B-221
SEC/DELEAQ
LABORATÓRIO VIA ÚMIDA/SETEC
