ESTANTE ACO ESTANTEACOINESTAN INESTAN 
BINOCULO WEST GERMANY BINOCULOWESTGERMANYZEISS ZEISS 
BELICHE DE ACO BELICHEDEACO SEM MARCA 
ESTANTE DE ACO ESTANTEDEACOAMAPA AMAPA 06/40
"MESA P/MICROCOMPUTADOR EST ACO TUBULAR MED 0,71X0,50X0,78M MESAP__MICROCOMPUTADORESTACOTUBULARMED0 71X0 50X0 78MCICOPAL CICOPAL 280-RACK"
"SOFÁ C/ ALMOFADAS,REVESTIMENTO EM TECIDO, COR AZUL,COM BRACOS. C__ALMOFADAS REVESTIMENTOEMTECIDO CORAZUL COMBRACOS_ALBERFLEX ALBERFLEX "
"SOFA 03 LUGARES, EST.FREIJO, REVEST.EM VINIL COR HAVANA SOFA03LUGARES EST_FREIJO REVEST_EMVINILCORHAVANAMAINLINE MAINLINE M-100/3"
"MESA QUADRADA, MED. 1,00X1,00M, TAMPO EM MADEIRA FREIJO CLAR MESAQUADRADA MED_1 00X1 00M TAMPOEMMADEIRAFREIJOCLARCIMPLA CIMPLA .."
"MESA TRIANGULAR, GAV.FIXO C/3 GAV.SUPORTE P/CPU. MESATRIANGULAR GAV_FIXOC__3GAV_SUPORTEP__CPU____  "
"CADEIRA DE ESCRITORIO, BASE TRAPEZOIDAL, C/BRACOS, TEC AZUL CADEIRADEESCRITORIO BASETRAPEZOIDAL C__BRACOS TECAZULSTILOFLEX STILOFLEX STE-130"
"CADEIRA DE ESCRITORIO, BASE TRAPEZOIDAL, C/BRACO, TEC. AZUL CADEIRADEESCRITORIO BASETRAPEZOIDAL C__BRACO TEC_AZULSTILOFLEX STILOFLEX STE-130"
"CADEIRA DE ESCRITORIO, BASE TRAPEZOIDAL, C/BRACOS,TEC. AZUL CADEIRADEESCRITORIO BASETRAPEZOIDAL C__BRACOS TEC_AZULSTILOFLEX STILOFLEX STE-130"
"MESA PARA REUNIAO, MARFIM, OVALADA, 180X100X74 MESAPARAREUNIAO MARFIM OVALADA 180X100X74OFFICEBRASIL OFFICE BRASIL MESA"
"ARMARIO, 02 PORTAS COM VIDRO,LAMINADO, C/MARFIM MED.60X60X73 ARMARIO 02PORTASCOMVIDRO LAMINADO C__MARFIMMED_60X60X73SALMO SALMO ARMARIO BAIXO"
MESA PARA IMPRESSORA NA COR MARFIM. MESAPARAIMPRESSORANACORMARFIM_IBEM IBEM IM04
MESA RETA  MESARETANACORMARFIM IBEM 
"CADEIRA FIXA COM BRAO EM TECIDO AZUL,TIPO SECRETARIA CADEIRAFIXACOMBRAOEMTECIDOAZUL TIPOSECRETARIATECNO TECNO P0400/31"
"ARMARIO  DE MADEIRA 80X50X163CM COR MARFIM,C PRATILEIRA ARMARIODEMADEIRA80X50X163CMCORMARFIM CPRATILEIRATECNO TECNO ARMARIO ALTO"
GAVETEIRO VOLANTE COM 4 GAVETAS E 1 PORTA OBJETOS GAVETEIROVOLANTECOM4GAVETASE1PORTAOBJETOSGIROFLEX GIROFLEX MOVEL AUXILIAR
"GAVETEIRO VOLANTE, COM 04 GAVETAS,COR MARFIM. GAVETEIROVOLANTE COM04GAVETAS CORMARFIM_OFFICEBRASIL OFFICEBRASIL GAVETEIRO"
"GAVETEIRO VOLANTE,LAMINADO,COR MARFIM. GAVETEIROVOLANTE LAMINADO CORMARFIM_OFFICEBRASIL OFFICEBRASIL GAVETEIRO"
"ARMARIO ALTO,COM 02 PORTAS,LAMINADO,COR MARFIM. ARMARIOALTO COM02PORTAS LAMINADO CORMARFIM_OFFICEBRASIL OFFICEBRASIL ARMARIO ALTO"
"GAVETEIRO VOLANTE,COM 04 GAVETAS,LAMINADO,COR MARFIM. GAVETEIROVOLANTE COM04GAVETAS LAMINADO CORMARFIM_OFFICEBRASIL OFFICEBRASIL GAVETEIRO"
"ESTANTE,COM 06 PRATELEIRAS,LAMINADO,COR MARFIM. ESTANTE COM06PRATELEIRAS LAMINADO CORMARFIM_OFFICEBRASIL OFFICEBRASIL ESTANTE"
FRAGMENTADORA DE PAPEIS PARA 46 FOLHAS FRAGMENTADORADEPAPEISPARA46FOLHASKOBRA KOBRA FRAGMENTADORA
"POLTRONA GIRATORIA,COM RODIZIOS E BRACOS REGULAVEIS POLTRONAGIRATORIA COMRODIZIOSEBRACOSREGULAVEISACCADEMIA ACCADEMIA POLTRONA GIRATORIA"
SOFA SOFA METALLINEA 
SOFA DE 02 LUGARES SOFADE02LUGARESMETALLINEA METALLINEA SOFA
SOFA DE 03 LUGARES SOFADE03LUGARESMETALLINEA METALLINEA SOFA
MESA DE APOIO CENTRAL DE MADEIRA NA COR MARFIM E PRETO FOSCO MESADEAPOIOCENTRALDEMADEIRANACORMARFIMEPRETOFOSCOMARTINUCCI MARTINUCCI MESINHA DE CENTRO
MESA DE APOIO CENTRAL EM MADEIRA NA COR MARFIM/PRETO FOSCO MESADEAPOIOCENTRALEMMADEIRANACORMARFIM__PRETOFOSCOMARTINUCCI MARTINUCCI MESINHA DE CENTRO
"GAVETEIRO VOLANTE EM MAD, C/RODIZIOS E 03 GAVETAS, MARFIM GAVETEIROVOLANTEEMMAD C__RODIZIOSE03GAVETAS MARFIMOFFICEBRASIL OFFICEBRASIL GAVETEIRO VOLANTE"
