GRAVADOR DE FITA CASSETE GRAVADORDEFITACASSETEMARANTZ MARANTZ PMD201
"IMPRESSORA JATO DE TINTA,DESKJET. IMPRESSORAJATODETINTA DESKJET_HP HP 950C"
"UNIDADE PARA COMUNICACAO DE VOZ/DADOS, POR LINHA TELEFONICA UNIDADEPARACOMUNICACAODEVOZ__DADOS PORLINHATELEFONICACEPESC CEPESC TSG"
"GRUPO GERADOR DIESEL DE ENERGIA 6,7 CV GRUPOGERADORDIESELDEENERGIA6 7CVBRANCO BRANCO BD-4500"
"NOTEBOOK MOBILE PENTIUM IV,204 CHZ,COM DVD,MODEM E NETWORK NOTEBOOKMOBILEPENTIUMIV 204CHZ COMDVD MODEMENETWORKDELL DELL "
SWITCH 12 PORTAS SWITCH12PORTAS3COM 3COM SWR 1300
MICROCOMPUTADOR 2.4GHZ P4 PRO 256MB 80G 110/220 TEC/MOU/CSOM MICROCOMPUTADOR2_4GHZP4PRO256MB80G110__220TEC__MOU__CSOMBITWAY BITWAY 
MICROCOMPUTADOR 2.4GHZ P4 PRO 256MB 80G 110/220 TEC/MOU/CSOM MICROCOMPUTADOR2_4GHZP4PRO256MB80G110__220TEC__MOU__CSOMBITWAY BITWAY P4 PRO 2.4 GHZ
MONITOR DE VIDEO TELA PLANA 17] RES.1280X1024 MONITORDEVIDEOTELAPLANA17]RES_1280X1024SAMSUNG SAMSUNG SYNCMASTER 794MB
MONITOR DE VIDEO TELA PLANA 17] RES.1280X1024 MONITORDEVIDEOTELAPLANA17]RES_1280X1024SAMSUNG SAMSUNG 
SWITCH 24 PORTAS SWITCH24PORTASSUPERSTACK SUPERSTACK 
NOBREAK POTENCIA 3KVA 36VCC 220/120V 2100W 40KG T176X260X561 NOBREAKPOTENCIA3KVA36VCC220__120V2100W40KGT176X260X561ENGETRON ENGETRON SS3000BI-EXT
"LEITOR DE CODIGO DE BARRAS, PISTOLA LEITORDECODIGODEBARRAS PISTOLAARGOX ARGOX "
"NOTEBOOK 80GB,14],DVDRW, C/MOUSE OPTICO E MALETA NOTEBOOK80GB 14] DVDRW C__MOUSEOPTICOEMALETALENOVO LENOVO "
BINOCULO LONGO ALCANCE PRETO C/ MALETA BINOCULOLONGOALCANCEPRETOC__MALETACELESTRON CELESTRON SKYMASTER 25X100 PN-1017
MICRO INTELC2D/4GB/HD160GB/ MICROINTELC2D__4GB__HD160GB__LENOVO LENOVO 
