BASE PONTES E LACERDA
Sem localidade
NTI APOIO 510
NUTRAN SR NOVA
203 DOAÇÃO
CARTORIO
NA E GISE SALAS 17 E 18
ELETRÔNICA 410 A 
GALPÃO
BENS A DISTRIBUR
NTI DEPÓSITO (SR NOVA)-BENS NÃO LOCALIZADOS
NTI SALA 104B - BENS NÃO LOCALIZADOS
DEPÓSITO CENTRAL - M02
DOACAO
DOACÃO BRG
APARELHOS DE RADIO COMUNICADOR 
GTRAN SELOG
NO ARMAMENTO
NO DREX ARMAMENTO
NO - ARMAMENTO
ARMAMENTOS
BASE GISE CUIABÁ - DRE 
NÚCLEO DE TRANSPORTES - DPF/BRG/MT
NUTRAN VEICULOS
DESTRUIÇÃO EQUIP. SENSIVEL
NIP - NÚCLEO DE INTELIGÊNCIA POLICIAL - SALA 306B
NO SIP 803
NO DELECOR 2 704
NIP - NÚCLEO DE INTELIGÊNCIA POLICIAL - BENS NÃO LOCALIZADOS 
CHEFIA NIP - 306
ALMOXARIFADO NAD/SELOG
SALA APOIO (UIP) - DPF/CAE
GTRAN
NO - CHEFIA (231/232/233) - BENS NÃO LOCALIZADOS
DOAÇÃO 2024 SL 203 NUMAT
NÚCLEO DE ANÁLISE - DPF/ROO/MT
NTI BENS PARA DOAÇÃO 
NÚCLEO DE OPERAÇÕES - SL 23 E 24 - DPF/CAE/MT
DOAÇÃO ASSOCIAÇÃO DOS ANIMAIS
NTI DEPÓSITO (SR NOVA)
DEPÓSITO NAD SR NOVA
AEROPORTO 
GID SALA 205 - BENS NÃO LOCALIZADOS
NO CHEFIA - SALA 231
NO SALA 105 E 107
NÚCLEO DE OPERAÇÕES - SL 23 E 24 - DPF/CAE/MT #
UNIDADE INTELIGÊNCIA POLICIAL - DPF/ROO/MT
 (22.39.81 # )NO GUSTAVO - SALA 225 - DPF/SIC/MT (2239) 
DATACENTER  201
BENS A DISTRIBUIR 2013 - NTI
DOAÇÃO
SALA 01 AUDITÓRIO
NEOF  SR NOVA
CHEFIA NTI - BENS NÃO LOCALIZADOS
PLANTÃO - DPF/BRG/MT
CHEFIA NTI
BENS A DISTRIBUIR 2013 - NAD
 ARMAMENTO/GAT/DREX
GTRAN SR NOVA
PREFEITURA - DPF/CAE/MT
NÚCLEO ADMINISTRATIVO 109 - DPF/BRG/MT 
NID 304
CHEFIA DELEMIG
SALA 05 B
CARTÓRIO CENTRAL SALA 12
NO 02 - SALA 009
DELESP - BENS NÃO LOCALIZADOS
BENS PARA DOAÇÃO - 2019
BENS PARA DOAÇÃO - 2012
ALOJAMENTO 1 ANDAR
DELEGADO 01 - CHEFIA
NO  DREX - SALA 307
*** MIGRACAO (SR/DPF/MT) -> RECOLHIMENTO
(TERREO 3) RECOLHIMENTO  DE BENS PARA DOAÇÃO 2014
CARTORIO DEPOSITO
NUTRA SR NOVA BENS NÃO LOCALIZADOS
SR EM REFORMA TERREO 2019
LABORATÓRIO DE QUÍMICA
COPA/DPF/CAE
CADASTRO RH
DEPÓSITO UTRAN ( CANIL ) 
PASSAPORTE 
SINARM - COMISSÃO DE VISTORIA - DPF/ROO/MT
CORREDOR 6 º ANDAR
DEPOSITO CARTORIO
APOIO TERCEIRIZADOS ( SALA 25 )
COPA - DPF/CAE 
MANUTENÇÃO 204
DRE - SALA 404 C (SR NOVA)
ALMOXARIFADO
PREFEITURA 
NUCART ARQUIVO 608
CUSTÓDIA VESTÍGIO 403
NO DELEAQ 511
SETEC CHEFIA - SALA 203 (SR NOVA)-BENS NÃO LOCALIZADOS
PASSAPORTES/ESTRANGEIROS (SALA 02) - DPF/CAE/MT
PLANTÃO - BENS NÃO LOCALIZADOS - DPF/BRG/MT
PREFEITURA SR/MT
CHEFIA 101 - DPF/BRG/MT
*** MIGRACAO (SR/DPF/MT)-> DELEGACIA DE POL¥CIA FEDERAL DE CCERES/MT -> CARTORIO/DPF/CAE/MT
MANUTENÇÃO
SALA SERVIDOR - REDE BRG 
DEPÓSITO NUCART G02 
ALMOXARIFADO/ROO/MT -  ALMOXARIFADO - BENS NÃO LOCALIZADOS - MDPF/ROO/MT
COPA 4 ANDAR - BENS NÃO LOCALIZADOS
SRH/ATENDIMENTO T08
ARQUIVO SRH
CANIL
PASSAPORTE SALAS - INATIVO
ALMOXARIFADO NAD
SINARM 
CHEFIA NIP - BENS NÃO LOCALIZADOS
NAD - CORREDOR
LABORATÓRIO DE QUÍMICA - BENS NÃO LOCALIZADOS
ARQUIVO CENTRAL M04
DML 1° ANDAR 
NUCART DEPÓSITO - SALA 230
CARTÓRIO TRIAGEM SALA 03
DOAÇÃO 2
SINARM
GUARITA
ALOJAMENTO - DPF/ROO/MT
ALOJAMENTO  8º ANDAR
NAD - ALMOXARIFADO
 NTI
BENS PARA BAIXA - 2013
FORÇA TAREFA 605
CHEFIA DREX 812
*** MIGRACAO (SR/DPF/MT)-> DELEGACIA DE POL¥CIA FEDERAL DE BARRA DO GARCAS/MT -> ALMOXARIFADO
ALMOX LIMPEZA SALA 14
ALMOX LIMPEZA - BENS NÃO LOCALIZADOS - DPF/BRG/MT
COPA 
GUARITA - DPF/ROO/MT
DELESP/CV
CORREDOR 1° PISO - BENS NÃO LOCALIZADOS - DPF/BRG/MT
CORREDOR 1° PISO
NO DREX SALA 307 SR NOVA - ARMAMENTOS
SETEC CHEFIA - SALA 203 (SR NOVA)
NTI SALA 104B SR NOVA
CHEFIA SETEC - BENS NÃO LOCALIZADOS
SALA TI NTI
PREFEITURA - DPF/ROO/MT
SINARM SALA
CARTÓRIO DELEMIG
NUCART - SALA 402 A (SR NOVA)
DELESP
BENS PARA DOAÇÃO - DPF/ROO/MT
NO DELEPAT 
DRCOR SR  NOVA
GEPEMA SETEC - BENS NÃO LOCALIZADOS
CHEFIA DELINST
NUMIG - DPF/ROO/MT
GPI - GRUPO DE PRONTA INTERVENÇÃO - BENS NÃO LOCALIZADOS
NUTEC - LABORATÓRIO DOC/GEO - SALA 215
IMIGRAÇÃO 
DELEAQ/SINARM/DELESP
*** MIGRACAO (SR/DPF/MT) -> DELEGACIA DE POL¥CIA FEDERAL DE CCERES/MT
SALA DE FLAGRANTE
UTEC - BENS NÃO LOCALIZADOS DPF/ROO/MT
SALA DE TI 2º ANDAR
SALA DO SERVIDOR DRE
PLANTÃO E CORREDOR - DPF/CAE/MT
DOAÇÃO UFMT
GID - DPF/ROO/MT
SERVIÇO DE LIMPEZA
CHEFIA DRCOR
GEPEMA SETEC
DEPÓSITO NAD
CHEFIA SELOG - SALA 106 A (SRN)
CPL
SETEC CORREDOR 2 ANDAR
SEC SETEC
ALOJAMENTO FEMININO
ACADEMIA
PLANTAO SR NOVA
NO DELEMIG 
NUCOR 
CORREGEDOR - SALA 305 B (SR NOVA)
GID
DELEPAT - SALA 207
BENS A DISTRIBUIR - DPF/BRG/MT
CARTORIO DELEMAPH
GPCONT 
SETEC LABORATORIO - SALA 201 (SR NOVA)
SALA 305A - SEC COR - SR NOVA
CHEFIA DELEFIN
