TUTORIA
RECOLHIMENTO
SALA- W2-11 - MANUTENÇÃO - NTI
SALA - SS-12 - DEPOSITO SUB SOLO FIM DO CORREDOR GARAGEM
N2-09 NAD
LOTE 03 DESFAZIMENTO 2025
BENS A DISTRIBUR
SALA- W2-08 - TELEFONISTA - NTI
SALA DE ARMAS 
VESTIÁRIO - GPI
GAT - SALA DE ARMAS
BENS ACAUTELADOS GAT
WT-09 - DEPOSITO GPI
SALA 19: ARMARIA
Sem localidade
RESIDÊNCIA GISE
NÚCLEO DE INTELIGÊNCIA POLICIAL
W5-05 - SALA TECNICA
SALA- 10 ADMINISTRAÇÃO
*** MIGRACAO (SR/DPF/AC) -> DELEGACIA DE POL. FED. EM EPITACIOLANDIA/AC
*** MIGRACAO (SR/DPF/AC) -> DELEGACIA DE REPRESSÞO A ENTORPECENTES.
SALA- W2-13 - DEPOSITO NTI
DEPOSITO NTI
SALA- N2-08 - GESEX
*** MIGRACAO (SR/DPF/AC) -> NUCLEO DE IDENTIFICACAO
SALA- ST-10 - CHEFIA GPI
SALAS- ST-06 / SR-08 - OITIVAS 01/02
GAT - BENS A DISTRIBUIR
S1-10
GEPOM/CZS/AC
PLANTÃO DPF/CZS/AC
AREA EXTERNA - PATIO INTERNO - DPF/EPA/AC
SS - CORREDOR SUB SOLO
BENS NÃO LOCALIZADOS
RECOL.-2009
*** MIGRACAO (SR/DPF/AC) -> RECOLHIMENTO 3
*** MIGRACAO (SR/DPF/AC) -> NUCLEO ADMINISTRATIVO
*** MIGRACAO (SR/DPF/AC) -> RECOLHIMENTO
*** MIGRACAO (SR/DPF/AC) -> SERVICO DE PERMANENCIA
SALA- N2-16 - DEPOSITO NAD
*** MIGRACAO (SR/DPF/AC) -> BENS A REDISTRIBUIR
LOTE 04 DESFAZIMENTO 2025
SALA- W3-09 LABORATORIO DE QUIMICA
COMISSAO BAIXA 2010 - DPF/EPA
CASA ANEXA A DPF EPA
POSTO DO DPF EM PLACIDO DE CASTRO
*** MIGRACAO (SR/DPF/AC) -> GRUPO DE ANALISE
*** MIGRACAO (SR/DPF/AC) -> NUCLEO DE TECNOLOGIA DA INFORMACAO
CONFRON ASSIS BRASIL - SALA DE ATENDIMENTO AO PUBLICO - POSTO DO DPF EM ASSIS BR
SALA- WT-03 - COPA
*** MIGRACAO (SR/DPF/AC) -> OP.SENTINELA
BENS PARA LEILÃO
SALA- NS-01 - NUTRAN
MATERIAS DESTRUIÇÃO - GAT
ST-01 PLANTÃO
NUCLEO DE TRANSPORTES
SALA- CANIL SR/PF/AC
SALA- ST-02 - INTEGRAPOL
*** MIGRACAO (SR/DPF/AC) -> DELEGACIA DE POLICIA DE IMIGRAÞO
OFICINA NUTRAN 
*** MIGRACAO (SR/DPF/AC) -> RECOL 2010
*** MIGRACAO (SR/DPF/AC) -> ANSEF/AC
BENS NAO LOCALIZADOS 2009
DELEGACIA DE REPRESSÞO AO TRAFICO ILICITO DE ARMAS
SALA AUDIENCIAS-DELEGADO
*** MIGRACAO (SR/DPF/AC) -> DELEGACIA DE CONTROLE DE SEGURANCA PRIVADA
SALA- WS-01 - MANUTENÇÃO SUB SOLO
TETRAPOL/SR/AC
GABINETE DO DREX
SALA- NT-18 - ESTUDO
ALOJAMENTO MASCULINO SR/PF/AC
SALA- ST-01 - PLANTÃO SR/PF/AC
SALA- COPA
DEPOSITO SUB SOLO - GPI
SALA-S1-02 - SEC DRCOR
SALA- 16 - RECEPÇÃO/PLANTÃO
GABINETE SELOG
SALA- NT 08 - ATENDIMENTO DELESP
SALA- S1-08 - CARTÓRIO DELINST
BENS INSERVIVEIS PARA DESFAZIMENTO NTI
NTI - BAIXA PATRIMONIAL
AREA EXTERNA PATIO - SR/PF/AC
SALA - W2-02 - COPA 2º ANDAR 
SALA - S2-11 - DEPOSITO - GABINETE SR.
SALA- S2-04 - DREX
SALA- N3-11 - LABORATORIO DE DOCUMENTOSCOPIA 
AREA EXTERNA PATIO DPF/CZS/AC
LIXEIRA-2008
NUTRAN CZS
CONFRON ASSIS BRASIL - SALA DE DESCANSO - POSTO DO DPF ASSIS BRASIL
SALA- WS-04 AMOSTRAS SUBSOLO
SALA: S2-05 - GABINETE DO SUPERINTENDENTE/PF/AC
SALA- W2-09 - SUPORTE - NTI
SERVICOS GERAIS - SUBSOLO
CONFRON DO DPF EM SANTA ROSA DO PURUS
*** MIGRACAO (SR/DPF/AC) -> RESIDENCIA OFICIAL DO SUPERINTENDENTE
SALA WEB
SALA DE ATENDIMENTO AO PUBLICO - POSTO DO DPF EM ASSIS BRASIL/AC
COPA/SELOG
GUARITA DA AEREA EXTERNA SR/PF/AC
SALA- W1-12 - N.O. DELEFAZ
SALA DE DESCANSO - POSTO DO DPF ASSIS BRASIL
