MESA LATERAL C/TAMPO DE GRANITO MESALATERALC__TAMPODEGRANITO SEM MARCA 
TRANSFORMADOR DE VOLTAGEM 110/220 VOLTS TRANSFORMADORDEVOLTAGEM110__220VOLTSXEROX XEROX 
"APARELHO TELEFONICO DIGITAL 2B+D,C/DISPLAY,EQUIP.C/ VIVA-VOZ APARELHOTELEFONICODIGITAL2B+D C__DISPLAY EQUIP_C__VIVA-VOZHANDSFREE HANDS FREE DBC 20301/01001"
NO BREAK NOBREAKNHS NHS ELETRONICO MONOFASICO
TERMINAL TELEFONICO TERMINALTELEFONICOERICSSON ERICSSON DBC-203
"APARELHO TELEFONICO DIGITAL 2B+D,DEDICADOS,C/DISPLAY 2 LINHA APARELHOTELEFONICODIGITAL2B+D DEDICADOS C__DISPLAY2LINHAERICSSON ERICSSON DBC 20301/01001"
RACK PADRAO 19 POL.PORTA VIDRO REMOVIVEIS. RACKPADRAO19POL_PORTAVIDROREMOVIVEIS_GKC GKC RACK
APARELHO TELEFONICO APARELHOTELEFONICOMATEC MATEC DBABM117001/987
ESTABILIZADOR ELETRONICO 1 KVA E/S 220/110 ESTABILIZADORELETRONICO1KVAE__S220__110EQUISUL EQUISUL PS 10TB
"RACK FECHADO 34U, PROF.570MM,1,50MTS, C/ BAND.GUIA DE CABO. RACKFECHADO34U PROF_570MM 1 50MTS C__BAND_GUIADECABO_CARTHOMS CARTHOMS RACK"
BANCOS TIPO DESENHISTA EM MADEIRA BANCOSTIPODESENHISTAEMMADEIRA SEM MARCA TAMBORETE
"ARMARIO, 02 PORTAS, LAMI MARFIM,C/ PRATE MED.80X60X160CM ARMARIO 02PORTAS LAMIMARFIM C__PRATEMED_80X60X160CMSALMO SALMO ARMARIO ALTO"
"ARMARIO DE ACO, MED 198X0,90X0,40, C/PRATILEIRAS,COR CINZA ARMARIODEACO MED198X0 90X0 40 C__PRATILEIRAS CORCINZANOBRE NOBRE 2 PORTAS"
"ESTABILIZADOR DE TENSAO, BIVOLT, AUTOMATICO ESTABILIZADORDETENSAO BIVOLT AUTOMATICOSMS SMS AP PROGRESSIVE"
"MESA DE TRABALHO,DIVISORIA,LAMINADO,COR MARFIM MESADETRABALHO DIVISORIA LAMINADO CORMARFIMOFFICEBRASIL OFFICEBRASIL MESA"
"ESTANTE,COM 06 PRATELEIRAS,LAMINADO,COR MARFIM. ESTANTE COM06PRATELEIRAS LAMINADO CORMARFIM_OFFICEBRASIL OFFICEBRASIL ESTANTE"
MICROCOMPUTADOR PENTIUM IV MICROCOMPUTADORPENTIUMIVSIEMENS SIEMENS CD ROM
"ESTABILIZADOR DE TENSAO, BIVOLT, AUTOMATICO ESTABILIZADORDETENSAO BIVOLT AUTOMATICOSMS SMS PROGRESSIVE"
"UNIDADE P/COMUNICACAO DE VOZ/DADOS, POR LINHA TELEFONICA UNIDADEP__COMUNICACAODEVOZ__DADOS PORLINHATELEFONICATSG TSG TSG"
"UNIDADE P/COMUNICACAO DE VOZ/DADOS,POR LINHA TELEFONICA. UNIDADEP__COMUNICACAODEVOZ__DADOS PORLINHATELEFONICA_CEPESC CEPESC TSG"
"CADEIRA DE ESTACAO DE TRABALHO,ESPALDAR MEDIO,BRACOS REGUL. CADEIRADEESTACAODETRABALHO ESPALDARMEDIO BRACOSREGUL_METALLINEA METAL LINEA CADEIRA DE ESTACAO"
"GAVETEIRO VOLANTE,COM 03 OU 04 GAVETAS MEDIAS,COR MARFIM. GAVETEIROVOLANTE COM03OU04GAVETASMEDIAS CORMARFIM_OFFICEBRASIL OFFICEBRASIL GAVETEIRO VOLANTE"
"POLTRONA GIRATORIA,COM RODIZIOS E BRACOS REGULAVEIS POLTRONAGIRATORIA COMRODIZIOSEBRACOSREGULAVEISACCADEMIA ACCADEMIA POLTRONA GIRATORIA"
"APARELHO TELEFONICO COM VARIAS FUNCOES, DE COR BRANCA APARELHOTELEFONICOCOMVARIASFUNCOES DECORBRANCAIBRATELE IBRATELE BR 1018"
