BENS A DISTRIBUIR
LEILÃO - NUMAT
MATERIAIS PARA LEILÃO
Sem localidade
GAT DREX - BENS A DISTRIBUIR
GTO ARMAMENTO/MUNIÇÃO DREX - SALA 05
ANALISE SIP - SALA 330F
 CHEFIA DRE - SALA 257C
ANALISE SIP - SALA 330D
ESCRITÓRIO DE INTELIGÊNCIA
NO NEPOM
CORREDOR/COZINHA SIP - SALA 330C
ANALISE SIP - SALA 330E
ALAMBRADO
NUCLEO ADMINISTRATIVO NUMAT - SALA 306 
ARMAS NO - SALA 006
NÚCLEO OPERACIONAL DELEPAT - SALA 103
SALA 11 - INTELIGÊNCIA
CASA - SALA 04
GARAGEM - MATERIAIS PARA DESFAZIMENTO
GTO - RECARGA/MUNIÇÃO DREX - SALA 04
DEPÓSITO DO NTI 2 NTI - SALA 324
SINARM - SALA 121C
SALA DE RÁDIO NTI - SALA 12
MANUTENÇÃO DE TELECOMUNICAÇÃO NTI - SALA 321
NUCLEO DE OPERAÇÕES
GTO  DREX - SALA 383
TELECOMUNICAÇÃO NTI - SALA 320
PERITOS SETEC - SALA 155
CHEFIA NTI - SALA 322
PASSAPORTE - DELEMIG - SECRETARIA
CHEFIA DELESP  SALA 118C 
DEPÓSITO DE LIMPEZA SELOG - SALA 30
SALA DE VIATURAS NUMAT
SAM - CONSULTÓRIO ODONTOLÓGICO SGP - SALA 239
COMISSÃO DE AVALIAÇÃO DE BENS - SALA 374
LABORATÓRIO PERÍCIAS EXTERNAS SETEC - SALA 159
NUPROC - SALA 023
PERITOS V SETEC - SALA 150
APARTAMENTO CENTRO - SELOG
MANUTENÇÃO AR CONDICIONADO SELOG - SALA 32
AREA EXTERNA
*** MIGRACAO (SR/DPF/ES)-> SETOR DE RECURSOS HUMANOS -> SALA-009 RAIO X SAM
DEPÓSITO SIP - SALA 330G
SALA PROVISORIA NUMAT
NAD - SALA 032
ADMINISTRAÇÃO DA MANUTENÇÃO SELOG - SALA 24
DEPOSITO DA CAIXA D´ÁGUA
DEPOSITO DE ARMAMENTO DO SINARM - SALA 121D
DEPOSITO AMARELAO NUMAT - SALA 34 
BENS NÃO LOCALIZADOS
NÚCLEO OPERACIONAL DELINST - SALA 215
MATERIAL PARA BAIXA NUMAT
NÚCLEO OPERACIONAL DELEFAZ - SALA 273
NUCLEO DE IDENTIFICAÇÃO  NID - SALA 226
NAT PROFESSOR - SALA 5
CASA EM SÃO MATEUS - DRE 
*** MIGRACAO (SR/DPF/ES)-> NUCLEO DE INTELIGENCIA POLICIAL -> SALA-007 SAGUÞO CRIS
FORÇA TAREFA - SALA 250C
DEPÓSITO SETEC - SALA 31
PROTOCOLO NUMAT - SALA 126
GALPÃO NEPOM
AFIS NID - SALA 227
LABORATÓRIO NID - SALA 228
*** MIGRACAO (SR/DPF/ES) -> BENS A DISTRIBUIR
MANUTENCAO SELOG - SALA 33
PLANTÃO NO - SALA 129
SGP - SALA 331
ARMAMENTO (COFRE)
OPERAÇÃO COM CÃES DRE - SALA 119
LABORATÓRIO DOCUMENTOSCOPIA SETEC - SALA 160
GUARITA - SALA 001
CHEFIA DO DEPÓSITO - NUPROC - SALA 344
*** MIGRACAO (SR/DPF/ES)-> NUCLEO DE CARTORIO -> SALA-005 ARQUIVO NUCART
COZINHA NEPOM
DELEGADO DELEFAZ - SALA 276A
DISTRIBUIÇÃO GERAL DE TELEFONIA NTI - SALA 16
PASSAPORTE - DELEMIG - PAINEIS - SALA 10
DEPÓSITO DE ARMAMENTO NO - SALA 352
LABORATÓRIO QUÍMICO SETEC - SALA 161
CRONOGRAMA DE CONTRATOS SELOG - SALA 304
CHEFIA SELOG - SALA 302
GARAGEM - CORREDOR 29
RECEPÇÃO DO SINARM - SALA 120
PERITOS VIII SETEC - SALA 153
NUCLEO OPERACIONAL
GABINETE 5 - SALA 034
COPA 2º ANDAR SELOG
SALA DE MATERIAIS - SALA 215 -
