DESFAZIMENTO
SALA /SN - CANIL DRE
SALA 085 - SETOR TECNICO-CIENTÍFICO/CHEFIA 
SALA 114A - GRUPO DE ARMAMENTO E TIRO/GAT/DREX - ARMAS 
GAT - BENS A DISTRIBUIR
SALA 062 - NUCLEO DE ANALISE/DRE
SALA 027A - DEPÓSITO/SIP
SALA 180 - DEPOSITO GERAL 02/NAD
BENS PARA DESFAZIMENTO
UIP - SALA 27
Sem localidade
SALA 120 - SERVIDORES/NTI
SALA 021 - SAED/PÁTIO EXTERNO/NEPOM
SALA 132 NID - IDENTIFICAÇÃO CRIMINAL
SALA 028 - NÚCLEO OPERACIONAL - DPF/JNE/CE
DEPÓSITO DE ARMAS
SALA 011 - CHEFIA CARTÓRIO -DPF/JNE/CE
GMF DOAÇÃO
DELEGACIA DO DPF EM JUAZEIRO DO NORTE
SALA 024 - NÚCLEO DE OPERAÇÕES/SIP
TERMINAL PORTUARIO DO PECEM/DELEMIG
SAED - SUBSOLO
SALA 03-SECRETARIA DE GABINETE - DPF/JNE/CE
SALA 172 - CHEFIA CUSTÓDIA
SALA 039 - NÚCLEO DE OPERAÇÕES/DELEFAZ
SERVIÇO DE ADMINISTRAÇÃO DE EDIFÍCIO-SR/NAD
SALA 193 - ALMOXARIFADO /DEPÓSITO
SALA 167 - NUTRAN/SELOG
SALA 164 - GASES LABORATORIAIS
RECOLHIMENTO/NAD - GUARDADOS ALMOXARIFADO
SALA 018 - GPMAR/NEPOM - ALMOXARIFADO NÁUTICO
SALA 097 - LABORATÓRIO REAGENTES/SETEC 
SALA 128 - SRAA(PROTOCOLO)/SELOG
 SALA 084 - SECRETARIA/SETEC
SALA 188 A - DEPOSITO GERAL 01/NAD
SALA 178 - REPOUSO
SALA 061 - NÚCLEO DE OPERAÇÕES/DRE
SALA 001 - ADMINISTRATIVO NEPOM
SALA 166 - CHEFIA/NUTRAN/SELOG
SALA 083 - NÚCLEO DE ANÁLISE/DELECOR
SALA 022 - NUCLEO DE ANALISE/SIP
BAIXA POR INSERVIBILIDADE
SALA 195 - CHEFIA/NÚCLEO DE MATERIAL
SALA 29 DELEFAZ
SALA 114 - GRUPO DE ARMAMENTO E TIRO/GAT/DREX 
COPA
SALA S/N - ATENDIMENTO AO PÚBLICO NFTI/NEPOM
SALA 183 - GERADOR 
SALA 008 - NEPOM
SALA 187 - ARQUIVO NUCART
SALA 180/A - ARQUIVO/SELOG
SALA 171 - NÚCLEO DE CUSTÓDIA/DREX
SALA 099 - ESPECTROSCOPIA/SETEC
SALA 026 - NUTRAN - DPF/JNE/CE
NPAER/DELEMIG-AEROPORTO
SALA S/N - CHEFIA/IGUATEMI/DELEMIG
SALA 194 - CHEFIA/SETOR DE ALMOXARIFADO/NUMAT
SALA 17 - NID BANCO CENTRAL
LABORATÓRIO UID
SALA 155 - AUDITÓRIO
SALA 009 - NÚCLEO DE ANÁLISE/DELEPAT
SALA 146 - RECURSOS HUMANOS/SRH
SALA 30 NÚCLEO DE OPERAÇÃO DELECOR
SALA 002 - NEPOM
SALA 118 - DEPOSITO/NTI
DEPOSITO DE DROGAS
SALA 07 - PASSAPORTE URGÊNCIA/EMERGÊNCIA/DELEMIG
SALA 02 - NÚCLEO DE OPERAÇÕES/DELEMIG
SALA 119 - SALA DE RÁDIO/NTI
SALA 138 - REPOUSO MASCULINO
SALA S/N - UTRAN-ANEXO
DOAÇÃO JNE
SALA 028 - GABINETE CHEFIA SIP/SR/PF/CE
SALA 016 - CONFORMIDADE DOS REGISTROS DE GESTÃO/CONFREG
SALA 134 - ESPAÇO DE CONVIVÊNCIA - CS/GAB
SALA S/N - GUARITA 01 (PRINCIPAL)
SALA DE DOAÇÕES 2024
SALA 07 - NÚCLEO DE OPERAÇÕES/DELEPREV BANCO CENTRAL
SALA 116 - RECEPÇÃO/NTI
SALA 189 - DEPOSITO DROGAS NUCART
SALA 244 -(NA)NUCLEO DE ANALISE/DELESP
SALA 198 - DEPÓSITO/NUTRAN/SELOG
SALA SN - NFTI/DELEMIG/SR/PF/CE
SALA 113 - NUCART
SALA 071 - SECRETARIA/DRPJ
SALA 09 - GABINETE CHEFIA/DMA/BANCO CENTRAL
SAED - DPF/JNE
SALA 019 - AUDITÓRIO - DPF/JNE/CE
SALAS 133 - DEPOSITO CS/GAB
SALA 148 - CHEFIA/SRH
SALA 12 - SINARM - ATENDIMENTO/DELEAQ
SALA 188 - SETOR DE PATRIMÔNIO/NUMAT
SALA 014 - AUDITÓRIO - NEPOM
SALA  143 -GABINETE 01/COR
SALA - 170 A - CUSTÓDIA
SALA S/N - CANIL/DRE/AEROPORTO
SALA 111 - SEC/NUCART -CARTORIO GERAL
SALA 105 - SALA DE PERITOS 05/SETEC
SALA 212 - PAPILOSCOPISTAS/GID
SALA 036 - DELEGACIA 03/DELEFAZ
SALA 33 - DELEFAZ
SALA 145 - GABINETE/CHEFIA/COR
SALA 102 - SALA DE PERITOS 02/SETEC
SALA 103 - SALA DE PERITOS 03/SETEC
SALA 106 - SALA DE PERITOS 06/SETEC
SALA 086 - SALA DE REUNIÕES/SETEC
SALA 104 - SALA DE PERITOS 04/SETEC
PERITOS SETEC - SALA 087
SALA 088 - SALA DE PERITOS 07
SALA 056 - GABINETE/DREX
SALA 186 - SEC/DEPÓSITO/NUCART
SALA 066 - DELEGACIA 01 CHEFIA/DRE
GISE/DRE/DRPJ
DEPÓSITO UTEC
SALA 06 - CARTÓRIO/IGUATEMI/DELEMIG
SALA 190 - DEPÓSITO/CHEFIA/NUCART
GINQ  -GRUPO DE INQUÉRITOS ESPECIAIS
SALA 065 - DELEGACIA 02/DRE
SALA 02 - GAB 01/DELEPREV
SALA 13 - NO/DMA/BANCO CENTRAL
SALA 017 - CONVIVÊNCIA - NEPOM
SALA 01 - CHEFIA/DELEPREV - BANCO CENTRAL
SALA ATENDIMENTO PASSAPORTE - IGUATEMI/DELEMIG
SALA SN - GRUPO DE PRONTA INTERVENÇÃO GPI/NEPOM/DREX
SALA 183- B - ARQUIVO/SELOG
SALA 196 - COPA
SALA 137 - PERMANENCIA DO PLANTÃO/NO/DREX
SALA 013 - REPOUSO GPI - NEPOM
SALA 008 - NÚCLEO DE OPERAÇÕES/DELEPAT
SALA 010 - MATERIAL GPI
SALA 16 - (NO)NUCLEO DE OPERAÇOES/IGUATEMI/DELESP
SALA 082 - NÚCLEO DE OPERAÇÕES/DELECOR
SALA 108 - NEOF
SALA AEROPORTO  JNE
SALA 115 - GSD DREX
SALA 101 - SALA DE PERITOS 01/SETEC
SALA 142 - SECRETARIA/COR
SALA 091 - AUDIO VISUAL/SETEC
SALA 051 - DELEGACIA 09/DELEFAZ
SALA 052 - DELEGACIA 06/DELECOR
SALA 76 - NO/DELINST
SALA 090 - COLETA DE VOZ/SETEC
PLANTÃO - RECEPÇÃO
SALA 01 - PLANTÃO -DPF/JNE/CE
SALA 009 - NEPOM
SALA 006 - FICCO
 (2025CE )SALA 191 - DEPÓSITO GERAL/NUCART - NUCART/DRCOR/SR/PF/CE (118105) 
SALA - 197 - DEPÓSITO LIMPEZA
SALA 125 -GESCON E FISCON/SELOG
SALAS 001 - GABINETE DO SUPERINTENDENTE
SALA 018 - DELECOR
SALA 136 - CHEFIA - CS/GAB
SALA S/N - GRUPO DE SEGURANÇA AEROPORTUARIA/GSAER/DREX
PROTOCOLO - SALA 17
SALA S/N - GTED - SALA TÉCNICA
SALA 08 REGISTRO IMIGRANTE/DELEMIG
NÚCLEO OPERACIONAL - N.O. SALA 54
SALA 18 - CHEFIA/IGUATEMI/DELEAQ
SALA 108 - NÚCLEO DE EXECUÇÃO ORÇAMENTÁRIA E FINANCEIRA/NEOF
SALA 10 - CONFECÇÕES DE PASSAPORTE/DELEMIG
SALA 129 - SALA DELEGADO
SALA 057 - SECRETARIA DE GABINETE DREX
RECOLHIMENTO BENS INSERVÍVEIS
SALA 09 - CUSTÓDIA - DPF/JNE/CE
SALA 089 - LABORATÓRIO/SETEC
SALA 094 - ENGENHARIA E MEIO AMBIENTE/SETEC
SALA 033 - COMISSÃO DE VISTORIA - DPF/JNE/CE
SALA 06 - GABINETE II - DPF/JNE/CE
SALA 025 - CRIS/INTERPOL/SIP
SALA 012 - GABINETE 02 DELEPAT
SALA 004 - NEPOM
SALA 006 - NEPOM
SALA 063 - SALA DE REPOUSO/DRE
SALA 05 - NÙCLEO DE CADASTRO/DELEMIG
SALA 053 - DELEGACIA 07/DELEFAZ
SALA 159 - SALA DE FLAGRANTE
SALA 04 - GABINETE CHEFIA - DPF/JNE/CE
SALA 060 - APOIO/DRE
SALA 024 - FORÇA TAREFA 01 - DPF/JNE/CE
UECE DOAÇÃO
DEPÓSITO VIATURAS NUTRAN
SALA 09 APOIO E  ATENDIMENTO ESTRAGEIRO - DELEMIG/DREX/SR/PF/CE
SALA 79 - GABINETE DELINST
NTI SALA 039 - DPF/JNE/CE
DRE VIATURAS
SALA 19 - CHEFIA/IGUATEMI/DELESP
SALA 079 - DELEGACIA 01/DELECOR
SALA 023 - NÚCLEO ADMINISTRATIVO - DPF/JNE/CE
SALA 054 - DELEGACIA 08/DELECOR
SALA 14 - IGUATEMI/SISTEMA DE CONTROLE E FISCALIZAÇÃO DE PRODUTOS QUIMICOS
SALA 112 - CHEFIA/NUCART
SALA 011 - GABINETE 01 DELEPAT
SAED DPF/JNE/CE
SALA DOS ESTAGIÁRIOS
SALA 06 - CARTÓRIO DELEPREV BANCO CENTRAL
SALA 042 - DELEGACIA 06/DELEFAZ
SALA 011 - MANUTENÇÃO - NEPOM
GABINETE CHEFIA
GUARITA
SALA 248 - INTERPOL/CHEFIA/DREX
SALA 093 - DOCUMENTOSCOPIA/SETEC
SALA 275 - FORÇA TAREFA
SALA 027 - CARTÓRIO/SIP
FORÇA TAREFA
IFCE DOAÇÃO
GABINETE Nº 06
UID - SALA 21
SALA 003 - SALA ADMINISTRATIVA/IGUATEMI/PASSAPORTE/DELEMIG
SALA S/N - DRE/AEROPORTO
SALA 17 - PROTOCOLO/DELESP
SALA 222 - INTERPOL/NO/DREX
SERVIÇO DE ADMINISTRAÇÃO DE EDIFÍCIO-ANEXO/NAD
SALA 064 - BDIN/DRE
SALA 040 - NÚCLEO DE ANÁLISE/DELEFAZ
SALA 08 - REGISTRO IMIGRANTE
SALA S/N - SINARM/IGUATEMI
SALA 237 - NA/DELINST
SALA 140 - GNC/COR/SR/PF/CE
SALA 229 - GAB/DELINST
SALA 185 - CONTRA PROVAS SETEC
SALA 023 - GUARDIÃO/SIP
SALAS 265/266 - ARQUIVO/ANEXO/GAB
SALA 050 - DELEGACIA 04/DELECOR
GABINETE 05
SALA - 006 - GNC/COR
SALA 037 - DELEGACIA 02/DELEFAZ
SALA 222 - CARTÓRIO/DELINST
SALA 010 - CARTÓRIO/DELEPAT
SALA 081 - DELINST 3
SALA 147 - JUMBÃO/SRH
SALA 003 - NEPOM
SALA 182 - MANUTENÇÃO ELETRICISTA
SALA 058 - NÚCLEO DE OPERAÇÕES/DREX
SALA 34 - DELEFAZ
SALA S/N - APOIO 01 RNE/DELEMIG
SALA 005 - NEPOM
SALA 126 - SINARM/DELEAQ
SALA 80 - DELINST2
SALA 13 - DELEAQ
SALA 04 - CHEFIA DELEMIG
BENS A DISTRIBUIR /NAD
BENS A DISTRIBUIR/NAD
DELECIBER/CAIXA
SALA 10 - GABINETE 01/DMA BANCO CENTRAL
SALA 012 - VESTIÁRIO GPI - NEPOM
NÚCLEO ADMINISTRATIVO - NAD - SALA 19
DEPÓSITO MATERIAL LIMPEZA - DML - SALA 68
GABINETE Nº 01
SALA 110 - CHEFIA SELOG
SALA 109 - CPL 
SALA 038 - DELEGACIA 01/DELEFAZ
 SALA 015 - CARTÓRIO 03 - DPF/JNE/CE
SALA 007 - NEPOM
SALA 202 - LAVAGEM DE VEÍCULO
SALA 168 - CONSERVADORIA-CHEFIA/SELOG
SALA 041 - DELEGACIA 05/DELEFAZ
SALA 048- DELECOR
DEPOSITO INQUERITO - DPF/JNE/CE
SALA 020
NOIP - SALA 28
SALA 017 - FICCO
SALA 047 - SALA 06 DELESP - DPF/JNE/CE
SALA 004 - SECRETARIA GAB/SR/PF/CE
SALA 156 - NUDIS - NÚCLEO DE DISCIPLINA - NUDIS/COR/SR/PF/CE (1606) 
SALA 074 - NÚCLEO DE ANÁLISE DELINST
GABINETE Nº 02
