DESFAZIMENTO
COMLURB
GISE/DRE/RJ - PRÉDIO
GAB SALA A-213 UPMO
SGP SALA C-408
DPF/NIG SALAS DE TRABALHO & CORREDOR
NPA/MCE AEROPORTO CABO FRIO
DPF/VRA SALA NPA
DELEPREV SALA C-246
SGP SALA  A-226
NUMAT SALA  A-101 CHEFIA
NAD/SELOG PROTOCOLO
SGP SALA C-410 WEB
DELEFAZ SALA UADIP
NAD/SELOG  ARQUIVO
SETEC SALA D-228
DEAER JACAREPAGUÁ
SIP SALA B-351
NEPOM SALA B-361
DELEMIG PORTO DE ITAGUAÍ-NFTI
DRPJ SALA B-331
DELEPREV SALA C-227 RECEPCAO
DMA SALA C-217
FICCO SALA CHEFIA
BENS A DISTRIBUIR-RJ
Sem localidade
DREX SALA GPI
DELEPREV SALA C-247
BENS RECOLHIDOS
SCS AUDITÓRIO
NAD/DPF/NIG
DELEPREV SALA C-232
DPF/NRI SALAS DE TRABALHO & CORREDORES
NEPOM SALA SUBCHEFIA
DELECOR SALA B-213
SGP SALA C-401
DELEFAZ SALA B-335 UADIP
SELOG ALOJAMENTO TORRE
DELINST SALA D-303
DELECOR SALA B-201
DPF/VRA SALAS DE TRABALHO & CORREDOR
DPF/NIG SALA AUDITORIO
NUMAT  ALMOXARIFADO
NO/DPF/VRA
GAB SALA AEDI
DELECIBER SALA  C-206
DEPÓSITO RECOLHIMENTO
DREX SDU
NO/DEAIN SALA CHEFIA
RECLASSIFICAÇÃO DE BENS
DRPJ SALA B-354
4.6
NEPOM SALA ALOJAMENTO
DRPJ SALA B-353
NO/DELECOR SALA B-224
DMA SALA C-212
DELECOR SALA B-204
NUAIN SALA
DEAIN GABINETE CHEFIA & SECRET. E DEMAIS LOCAIS
DMA SALA C-213
NO/DELEPREV SALA C-235
DRPJ BASE
DELEPREV SALA C-241 REUNIAO
DPF/NRI SALA  UIP
NO/DRE SALA A-438
NPA/DPF/NIG
NUPROC/DPF/NIG
NAD/SELOG  SALA CHEFIA
DELEPAT SALA A-260
NEPOM SALA B-360
DRE SALA A-436
NUARM SALA C-369
NEPOM SALA B-340
DPF/MCE AEROPORTO DE CABO FRIO( NÃO MOVIMENTAR BENS)
DPF/ARS SALA UIP
NUPROC/DPF/NRI
COPA 5º ANDAR(NÃO MOVIMENTAR BENS)
SELOG SALA A-304 NAD
DELECIBER SALA C-203
NUTRAN SALA A-002 CHEFIA
DPF/MCE SALAS TRABALHO & CORREDORES
SALA 01 - ANÁLISE - GISE DRE
DELESP SALA C-306
