SALA SS21 ALMOXARIFADO
NUTRAN/SELOG/SR/PF/PB
DML - 4º ANDAR
BENS PARA DOAÇÃO
SALA 230 CHEFIA DELEPREV
SALA 118 CHEFIA/SETEC
033 - COORDENAÇÃO GPI
SALA 029 - SALA INTERNA PLANTÃO
SALA SS10 GAT/DREX
NUCLEO ANALISE/NOIP
BENS ACAUTELADOS - INFORMATICA
Sem localidade
NAD/RECOLHIMENTO/SR/DPF/PB
SETEC QUÍMICA INSTRUMENTAL - LABORATÓRIO
SS14 - DEPOSITO SUBSOLO
PLANTÃO AEROPORTO
SALA 114B LAB QUIMICA INSTRUMENTAL
GAT - BENS A DISTRIBUIR
GAT - DPF CAMPINA GRANDE
GAT - DPF PATOS
SALA A119 LAB GPEX
SALA SINARM DPF/PATOS
SALA- UNIDADE DE PASSAPORTE(SHOPPING MANAÍRA)
DPF/PAT/PB GAB 3
SALA 06 - CARTORIO
A102 - NID BIOMETRIA
DPF/PAT/PB NO
UIP/CGE
A116 - SETEC LABORATORIO
A115 - LABORATORIO SETEC
GUARITA 1 FRENTE
CASA DO CIDADÃO/PASSAPORTE
SALA 015 - ARMAS/DELEAQ
A023 - DEPOSITO  TERREO ANEXO - SETEC
SALA A113 LAB QUIMICA GERAL
A109 - SETEC 
NAD/SELOG/SR/DPF/PB RECOLHIM DEP FUNDAC
DPF/CGE/PB MATERIAL PARA BAIXA
DPF/CGE/PB GAB 21
DEPÓSITO PREFEITURA
NIP/GAB/SR/DPF/PB
SALA 320 COPA/SIP
DPF/CGE/PB PLANTÃO
DPF/CGE/PB TRANSPORTE
ÁREA COMUM
SALA 419 SRH
DREX/DEPOM CABEDELO/SR/DPF/PB
SALA 25 - DEPOSITO CARTORIO
SETEC/SR/DPF/PB NID
DPF/CGE/PB-NUAQ/COMISSÃO DE VISTORIA/ESTRANGEIROS
PROTOCOLO/NAD/SR/DPF/PB
NTI/SR/DPF/PB/SALA 216
NAD/SELOG/SR/DPF/PB MATERIAL NÃO ENCONTRADO
SETEC PERÍCIAS EXTERNAS-GABINETE
SALA 319 CRIS/SIP
SALA 013 DREX/ARMAS/SR/DPF/PB
SALA B01 MANUTENCAO PREDIAL/SELOG
NUCART/DRCOR/SR/DPF/PB
212 - NO DRE
SRH/SR/DPF/PB
SALA 430 GAB/DRPJ
SALA 412 - UGE
NAD/SELOG/SR/DPF/PB/COPA PISO 2
PLANTÃO
GABINETE CHEFIA
DPF/CGE/PB GAB 20
GID
137 - COPA 1 ANDAR
DPF/CGE/PB UIP
DPF/CGE/PB GAB 18
B04 - VESTUARIO MASCULINO
SALA NPA (CADASTRO DE VIGILANTES)
NTI/REPETIDORA TV CABO BRANCO/SR/DPF/PB
A022 - ARQUIVO TERREO - SETEC
DRE/DRCOR/SR/DPF/PB/NOIP ANÁLISE DRE DELEPAT
001 DML TERREO
SALA 328 SECRETARIA/SIP
DPF/PAT/PB ALOJAMENTO
DPF/CGE/PB CARTÓRIO
NUCOR/GAB/COR/SR/DPF/PB
CUSTÓDIA
CORREDOR REFEITORIO
NO/DPF/CGE
SALA 334 GAB/DELECOR
DREX/SR/DPF/PB/PLANTÃO
DPF/PAT/PB MAT PARA BAIXA
DREX/SR/DPF/PB/PLANTÃO/BR 230
DPF/CGE/PB NOIP
SS12 - ARQUIVO
123 - SALA TÉCNICA 1º ANDAR
DPF/CGE/PB PASSAPORTE
SRH/SR/DPF/PB/PAGAMENTO
DPF/CGE/PB GAB 19
NO/DREX/SR/DPF/PB
DPF/CGE/PB NO
DPF/PAT/PB CARTÓRIO
SALA SS08 DEPOSITO DROGAS
GUARITA PORTÃO DE ENTRADA
PROTOCOLO
NAD/SELOG/SR/DPF/PB/COPA PISO 1
INFORMÁTICA/GAB/PATOS
DPF/CGE/PB GAB 17
ALOJAMENTO FEMININO
DPF/CGE/PB PROTOCOLO
SALA 210 - SALA DE REUNIÃO DRE
RECEPÇÃO - DPF/PAT/PB
SELOG/PREFEITURA/SR/DPF/PB
108B (GPQUIM) SETEC PERÍCIAS DE QUIMICA FORENSE-GABINETE
GABINETE 15
CORREDOR SUBSOLO
DELEFIN/DRCOR/SR/DPF/PB
DELEPREV/DREX/SR/DPF/PB
NUPROC
A112 - NID LABORATORIO
SALA 336 CARTÓRIO/ DELECOR (01)
DPF/CGE/PB LIMPEZA
NAD/SELOG/SR/PB
SALA- SUPORTE(SHOPPING MANAÍRA)
SALA SS20 ARQUIVO SRH
A107 - SETEC LABORATORIO
PREFEITURA 1
DPF/PAT/PB NOIP
SALA 225 - CARTÓRIO DMA
DPF/PAT/PB SECRETARIA PROTOCOLO
DELEMIG/CHEFIA/DREX/SR/DPF/PB-
SALA ANEXO FUNDOS/NTI
SALA 226 - CHEFIA DMA
SR/DPF/PB/GAB SR (SLS 218-REUNIÃO 220-APOIO 222A-SEC 222 GAB)
DELEFAZ/SR/DPF/PB
DELEFAZ4/DREX/SR/DPF/PB
SALA 112 PERICIAS DE ENGENHARIA/SETEC
SALA 018 - DELEAQ
SALA 113 PERICIAS EXTERNAS/SETEC
DRE/GAB/DRCOR/SR/DPF/PB
COPA/COZINHA
DPF/PAT/PB INFORMÁTICA
DPF/CGE/PB SALA 29
NUTRAN/NAD/SELOG/SR/DPF/PB
SALA A205 - DEPOSITO ACADEMIA
SECRETARIA DO GAB CHEFIA
SALA 423 NAD DEPÓSITO ESCADA
RECEPÇÃO(SHOPPING MANAÍRA)
COPA 2 ANDAR
DREX/SR/DPF/PB/SALAS DE AUDIÊNCIA
COR/GAB/SR/DPF/PB
DREX/SR/DPF/PB/GAB
DELEPAT/GAB/DRCOR/SR/PB
DELESP PATOS
SALA 09 - CARTORIO PLANTÃO 
DPF/CGE/PB NTI
SALA 222 GAB/DELEFAZ
SALA 408 TELECOMUNICAÇÕES
ATENDIMENTO PASSAPORTE(SHOPPING MANAÍRA)
NTI/SR/DPF/PB/DESENVOLVIMENTO SALA 223
SR/DPF/PB/GAB/CONFORMIDADE
SALA- UNIDADE DE REGISTRO DE ESTRANGEIRO(SHOPPING MANAÍRA)
SALA CHEFIA NUCART - DPF PATOS
GABINETE CHEFIA DELEMIG(SHOPPING MANAÍRA)
GABINETE 36
SELOG/SR/DPF/PB
A110 - NID - IDENTIFICAÇÃO HUMANA
A103 - SETEC 
DELESP/DREX/SR/DPF/PB
DPF/PAT/PB GAB CHEFIA
SRH/SR/DPF/PB- PSICOLOGO-SERVIÇO SOCIAL-DENTISTA
CHEFIA DELEAQ/DREX/SR/PF/PB-
325 - SIP/SR/PF/PB
DPF/PAT/PB GAB 1
SALA 117 SECRETARIA/SETEC
SALA A124 LAFIN
GABINETE 22
DELEMIG/DREX/SR/DPF/PB-NRE
DPF/PAT/PB COPA
PATOS BENS NÃO LOCALIZADOS
SECRETARIA DA DREX
DPF/CGE/PB COPA
NEOF/SELOG/SR/DPF/PB
SALA 07 - COPA DPF/PAT/PB
DEPOSITO AREA EXTERNA DA DPF PATOS
GABINETE
AUDITÓRIO/COM SOCIAL/GAB/SR/DPF/PB
DPF/PAT/PB GAB 2
NIP/SR/DPF/PB/ESCRITÓRIO EXTERNO
SELOG/GESTÃO CONTRATOS E LICITAÇÃO/SR/DPF/PB
CPL
DELEFAZ2/DREX/SR/DPF/PB
DELEMIG/AEROPORTO/DREX/SR/DPF/PB
NAD/SELOG/SR/DPF/PB BENS A DISTRIBUR
NTI/RECOLHIMENTO/SR/DPF/PB
