GABINETE-CHEFIA-DTI (ALA A)
PRÉDIO-SEDE ANTIGA - SALA 2º ANDAR
SALA SANEAMENTO SEMAT
PRÉDIO-SEDE - SALA 5º ANDAR
STO CENTRO DE DISTRIBUIÇÃO -SUBSOLO
Sem localidade
DISE - DIP
TELEFONES (VISTORIADA 2021 - SAD)
PRÉDIO-DSG-SIMED
DISE - LABORATÓRIO INFORMÁTICA - SEDE ANTIGA
COPA-TÉRREO
STO CENTRO DE DISTRIBUIÇÃO-TÉRREO
PRÉDIO-SEDE - SALA 6º ANDAR
SALA DE DESFAZIMENTO - DISE
PRÉDIO-SEDE - SALA 8º ANDAR
SALA-DISE
PRÉDIO-SEDE ANTIGA - SALA SUBSOLO
SALA DE DESFAZIMENTO - DTI
SEDE - SALA DE EQUIPAMENTOS - SUBSOLO
PRÉDIO-SEDE ANTIGA- SALA 10º ANDAR
PRÉDIO-SEDE - SALA 9º ANDAR
SALA DA LIMPEZA-SUBSOLO
ÁREA CISE - ALA A
SALA 64 - SUBSOLO
SALA DE CONFIGURAÇÃO DE PERIFERICOS ABIS (ALA A))
OPEN SPACE
AREA TECNICA CGTI
SETEL SALA CHEFIA (ALA A)
COPA ALA A
SALA TELECOM
NOC
SALA ENGEPRON-SUBSOLO
GABINETE ASSESSOR (ALA A)
SALA DE REUNIÃO (ALA A)
PRÉDIO-SBN
ÁREA COMUM SUBSOLO
SALA CHEFIA-STO [ANTIGA]
BENS A DISTRIBUIR
BENS PARA RECLASSIFICAÇÃO - STO
LABORATÓRIO MANUTENÇÃO
SALA STO ANEXO CHEFIA - ALA A
AUDITÓRIO
STO SALA DOS TECNICOS
GABINETE-CHEFIA-DTI
BENS NÃO LOCALIZADOS - DTI
VESTIÁRIO MASCULINO-SUBSOLO
SALA EQUIPAMENTOS TETRAPOL/PABX
SALA DE CONVIVÊNCIA
SALA-COFRE
SALA-PREFEITURA
CGTI - GAB (ALA B)
SALA ARQUIVO DOCUMENTAL-TÉRREO(AO LADO DO ELEVADOR)
COPA-STO
DSG - DEPÓSITO
SALA DE REUNIÃO 107 OPEN SPACE
SALA DE REUNIÃO-STO
BENS NÃO LOCALIZADOS - STO
VESTIÁRIO FEMININO-SUBSOLO
COPA ALA B
GAB CGAD ALA B
MÓVEIS (VISTORIADA 2021 - SAD)
PREFEITURA (SALA 74) - SUBSOLO
CENTRO DE DISTRIBUIÇÃO - SALA CHEFIA ALA A
SALA-SETEL [ANTIGA]
GERÊNCIA DE SISTEMAS
NOC - ANEXO
STO SALA-CHEFIA (ALA A)
CGTI - ANEXO CHEFIAS (ALA B)
SALA TETRAPOL COMPARTILHADA STO/CISE
ESCRITORIO DE PROJETOS-ESTAGIARIOS
UNIDADE DE GESTÃO DE CONTRATOS - UGESCON
PRÉDIO-SEDE ANTIGA - SALA TÉRREO
DEPÓSITO BENS A DISTRIBUIR (VISTORIADA 2021 - SAD)
ÁREA COMUM DTI  TÉRREO
SALA DAS MÁQUINAS-ELEVADOR-COBERTURA
SELIC GERAL
CASA DA AGUA POTAVEL
CENTRAL DE ÁGUA
BENS NÃO LOCALIZADOS ATÉ 2019 - SETEL
SALA DEPÓSITO-TÉRREO
SITE CINDACTA - DTCEA - CINDACTA I
PRÉDIO-SEDE - SALA 4º ANDAR
PRÉDIO-SEDE - SALA 1º ANDAR
SALA DE DESFAZIMENTO - STO
ANP SITE STO
DISE (ALA A)
SALA SETEL - ALA A
NUDOC
DEPÓSITO MÁQUINAS COM DEFEITO (VISTORIADA 2021 - SAD)
DEPÓSITO BENS A DISTRIBUIR
SALA-APOIO AUDITÓRIO
SALA TETRAPOL COMPARTILHADA CISE/STO
SALA DE DESCOMPRESSÃO
PRÉDIO-CAOP-HANGAR
SALA FANCOIL - ALA A
GABINETE-CHEFIAS
PATRIMÔNIO - SEPAT
*** MIGRACAO (CTI/GAB/DPF) -> MATERIAL RECOLHIDO
EQUIPAMENTOS DE PROTEÇÃO E SEGURANÇA
*** MIGRACAO (CTI/GAB/DPF) -> DITEL-TETRAPOL
SALA CONFIGURAÇÃO TETRAPOL
*** MIGRACAO (CTI/GAB/DPF)-> CTI-GABINETE -> RECEPÞO GAB/CTI:SOFÝS E JARROS
ÀREA COMUM - ALA B
ÁREA COMUM - ALA A
SAD - SALA SANEAMENTO - SUBSOLO
CAOP - HANGAR - SALA DE EQUIPAMENTOS - 1º PAVIMENTO
LICENÇAS DE SOFTWARE - GERAÇÃO INTERNA
LICENÇAS DE SOFTWARE - SETEL
SITE BANCO CENTRAL
SITE CEILÂNDIA
PRÉDIO-INI
DISE - INI - AQUARIO
PRÉDIO-DAT
SALA CNCO
CISE ÁREA COMUM ALA A- SWITCH
SITE JARDIM INGA
CHEFIAS-DAD/SELIC
DEPÓSITO-GARAGEM - DISE
PRÉDIO-SEDE - SALA 7º ANDAR
PATRIMÔNIO/SAD/CGTI
SALA COFRE COMPARTILHADA STO/DISE
SALA T11 SUPORTE DTI - CISE - SEDE - TORRE B - TÉRREO
SECRETARIA-CHEFIA-DTI
ANEXO GAB/DTI
SALA CHEFIA - ALA A
ÁREA-DISE [INTERPOL]
COMISSÃO PERMANENTE DE LICITAÇÃO - CPL
UNIDADE DE APOIO À CONTRATAÇÃO - UAC
SALA DA CONFORMIDADE
ANEXO GAB CGAD - ALA B
SALA REUNIÃO 4 - OPEN SPACE
SALA CPLAN-CGAD-ALA B
SALA-SAD
VEÍCULOS
T&D
AREA DE CONVIVENCIA - CADEIRAS ANTIGAS
PRÉDIO-COT
DEPÓSITO SALA T12 - CISE -  SEDE - TORRE B
CISE - ÁREA COMUM  - ALA B SWITCH
GABINETE DIRETOR [INTERPOL]
APARELHOS RECOLHIDOS
SALA TELECOM STO
ANP - SALA CPD
RACK TÉRREO  SEDE -TORRE B
RACK 2º ANDAR SEDE - TORRE B
RACK 6º ANDAR SEDE - TORRE D
RACK 13º ANDAR SEDE - TORRE B
RACK 5º ANDAR SEDE -TORRE D
RACK 13º ANDAR SEDE - TORRE D
5° SUBSOLO SEDE - TORRE D
RACK 1º ANDAR SEDE - TORRE B
RACK 11º ANDAR SEDE -TORRE B
RACK 10º ANDAR  SEDE - TORRE B
RACK TÉRREO SEDE- TORRE D
RACK 12º ANDAR  SEDE -TORRE D
RACK 2º ANDAR SEDE - TORRE C
RACK 4º ANDAR SEDE- TORRE B
RACK 6º ANDAR SEDE - TORRE B
RACK 1º ANDAR  SEDE-TORRE C
RACK 12º ANDAR  SEDE -TORRE B
RACK 8º ANDAR SEDE - TORRE B
RACK 1º ANDAR  SEDE-TORRE D
RACK 7º ANDAR SEDE - TORRE B
5° SUBSOLO SEDE - TORRE B
RACK 2º ANDAR SEDE - TORRE D
RACK 4º ANDAR SEDE- TORRE D
RACK 11º ANDAR SEDE -TORRE D
RACK 9º ANDAR SEDE - TORRE B
RACK 5º ANDAR  SEDE - TORRE B
RACK 3º ANDAR SEDE - TORRE B
RACK 3º ANDAR SEDE - TORRE D
RACK 8º ANDAR SEDE - TORRE D
RACK 4º ANDAR SEDE -TORRE C
RACK 3º ANDAR SEDE - TORRE C
RACK 9º ANDAR  SEDE -TORRE D
RACK 7º ANDAR SEDE - TORRE D
RACK 5º ANDAR SEDE -TORRE C
5° SUBSOLO -SEDE - TORRE C
RACK 10º ANDAR SEDE - TORRE D
LIQUIDAÇÃO E TOMBAMENTO
HALL CENTRAL
ÁREA DE CONVIVÊNCIA 01 - (ESPAÇO PRÓXIMO AO AUDITORIO)
SALA REUNIÃO 2 - OPEN SPACE
SALA REUNIÃO 1 - OPEN SPACE
SALA REUNIÃO 3 - OPEN SPACE
LICENÇAS DE SOFTWARE - ADQUIRIDAS
LICENÇAS DE SOFTWARES - DIGED - ADQUIRIDAS
RACK 13º ANDAR SEDE - TORRE C
RACK 12º ANDAR SEDE - TORRE C
RACK 11º ANDAR SEDE - TORRE C
RACK 10º ANDAR SEDE - TORRE C
RACK 9º ANDAR SEDE - TORRE C
RACK  8º ANDAR SEDE - TORRE C
RACK 7º ANDAR SEDE - TORRE C
RACK 6º ANDAR SEDE - TORRE C
SALA T13 COFRE - CISE - SEDE - TORRE B
