SALA CHURRASQUEIRA
SALA CHEFIA/UTRAN/SELOG
GARAGEM COPA
SALA C57-UAMB SGP
ALOJAMENTO 05
NUMAT-BENS NÃO LOCALIZADOS POR OBSOLETISMO OU CUSTO/BENEFÍCIO DO CONTROLE
Sem localidade
DEPOSITO 02
DEPÓSITO/SETEC-SL D116
SECRETARIA/SETEC-SL D202-DITEC
CHEFE/SETEC-SL D202A-DITEC
DEPOSITO 01
NUMAT-DEPOSITO BENS USADOS
SALA C53
SALA PLANTAO/UTRAN/SELOG
SALA 106 - CHEFE GABINETE
SALA LAVA JATO/UTRAN/SELOG
SALA A108
SALA B37 - CHEFIA/NUPROC
SALA C52 - NO/DELESP
SALA A05 - GTED/SELOG
SALA C50 - SECRETARIA/DELESP
SALA B211
SALA B31 - CHEFIA/NUDIS/COR
UTRAN/SELOG
UGE
SALA A04 - SECRETARIA SELOG
SALA DE PERITOS/SETEC-SL D106-DITEC
SALA A09
SALA A01 - CHEFIA SELOG
SALA EMBARQUE
ALOJAMENTO FEMININO
SALA C210 - NO
SALA C214 NA
RECEPÇAO/DREX
SALA A103 - CHEFIA
SALA C154
COMISSÃO DE DESFAZIMENTO 2011
SALA PERITOS/INFORMÁTICA/SETEC-SL D212-DITEC
SALA DE PERITOS/SETEC-SL D206-DITEC
SALA A17-1
SALA C146
DELEMIG/PASSAPORTE-SL 1
SALA B203
SALA A11 - FICCO SR
SALA A110-B
SALA A16 - FICCO SR
SALA B30 - NUAIN/COR
SALA C149
SALA C153
DEPOSITO COOPERCRED
SALA C152
SALA B210
GPI
SALA C45-DELEAQ
SALA A110 - CHEFIA
SALA C51 - CHEFIA SGP
B132 SCS
NUMAT-NOVO DEPOSITO COPERCRED (1)
SALA B29 - CHEFIA/NUCOR/COR
SALA DE PERITOS/SETEC-SL D104-DITEC
SALA DE PERITOS/SETEC-SL D204-DITEC
SALA B204
SALA DE PERITOS/SETEC-SL D208-DITEC
SALA A22 GABINETE DRE
GABINETE DO SUPERINTENDENTE
SALA A12 - COPA/SELOG
SALA A08 - GESCON/SELOG
SALA C151
SALA T06
GAT
CORREDOR DRE
SALA A102 CHEFIA
SALA DE ARMAS
GAT-ARMAS/COLETES-BENS A DISTRIBUIR
GAT/NO/DREX/SR/PF/DF
SALA A18-2
SALA A18-1
SIP SALA 4
DEPÓSITO NO/DELEMAPH-S/N- TÉRREO
DRE
SELOG/SR/DPF/DF
 CUSTODIA
EXTINTORES DA SR/DPF/DF
SALA B36 - CONFREG/SR
COPA 1° PAVIMENTO SR/PF/DF
GARAGEM DEPÓSITO MATERIAL LIMPEZA
DEPOSITO COOPRECRED GRANDES APREENSÕES 2/NUPROC
SALA A116 - LABORATORIO
LAVAJATO
*** MIGRACAO (SR/DPF/DF)-> DELEGACIA REGIONAL EXECUTIVA -> NO/SALA
ALOJAMENTO PLANTAO/DREX
SALA B127 GAB/DREX/SR/PF/DF
SALA 015-DELEFAZ
NUTEL
DREX/SR/DPF/DF   
DEPOSITO AR CONDICIONADO 1 ANDAR
SELOG/NAD/DEPOSITO
NUMAT-BENS EM DEPOSITO
DELEPREV/DF
DELINTS/DREX
HALL 2 ANDAR
DEPOSITO GARAGEM NUPROC/DRPJ
CORREDOR 1 ANDAR - DELINST/DMA
SALA A10 - UAIN/SELOG
SALA A119 - CHEFIA
SALA B-42 DELEGADO DO DIA/DREX
SALA C221 NO/DELECOR
SALA B39 - NO/DREX
SALA C228 NO
SALA B206
SECRETARIA/RECEPÇAO
DELEMIG/BENS NÃO LOCALIZADOS
SALA B42-COPA/PLANTÃO
SALA 21B CPD/NUDIS/COR/SR/DPF/DF
DEPOSITO DROGAS E ARMAS/NUPROC
NUCART/DEPÓSITO BENS APREENDIDOS 
EMBARQUE ARMADO
 DREX/DF
SALA C219 CHEFIA
GUARITA 2
DREX/GABINETE-SALA 101 A
DELEGACIA REGIONAL EXECUTIVA
GARAGEM
DELINST NO-GARAGEM/SALA  113
SETEC LABORATORIO EXAMES PRELIMINARES-SL SN
SALA B41 - ANEXO/NO/DREX
*** MIGRACAO (SR/DPF/DF)-> SETOR TECNICO CIENTIFICO -> BENS NO LOCALIZADOS
DELEMIG/URE/ESTRANGEIROS-SL 10
SALA A23 NA 1 DRE
SALA C139 - NO
SALA A111 - NO
SALA B32 - SECRETARIA
ALOJAMENTO 04
DELEMIG/GABINETE-SL 21
ALOJAMENTO 03
DELEMIG/REUNIÃO/COPA/CORREDOR/BANHEIRO-SL 11
SALA A15 - ALMOXARIFADO
DELESP/DREX/SR/DPF/DF
BENS NÃO LOCALIZADOS 2024
NUTEL-DF
CORREDOR 1° PAVIMENTO DELEFAZ
SALA 136A/B-DELEFAZ
SALA B208
SALA C213
SALA A107
SALA C223 CHEFIA
DELEMIG/NA HORA/RIACHO FUNDO-SL 09
SALA A105 - CARTORIO
SALA 138 SETEC/SR/DPF/DF
*** MIGRACAO (SR/DPF/DF)-> SETOR TECNICO CIENTIFICO -> SALA 151
*** MIGRACAO (SR/DPF/DF)-> SETOR DE RECURSOS HUMANOS -> BENS NÞO LOCALIZADAS
SIP SALA 7
SIP - SL 113
BENS NÃO LOCALIZADOS NTI
NUMAT-NOVO DEPÓSITO COPERCRED (2)
SALA C141
NTI/DF
GCAP
SALA CUSTÓDIA/PLANTÃO
NO/PLANTÃO
*** MIGRACAO (SR/DPF/DF) -> SELOG-LIMPEZA/MANUTENCAO
DREX/DF
SALA A06 - NEOF
SALA B28 - CHEFIA
SEM
SALA B38
SALA C144
SALA CORREDOR/SELOG
SALA TECNICA
CHURRASQUEIRA
SALA PLANTÃO
DELEMIG/NO-SL 04
DELEMIG/SECRETARIA 1 E 2-SL 20
SALA A26 NO/DRE
SALA C145
SALA ARQUIVO
ALOJAMENTO 01
SELOG/SR/DF
SALA A102 CARTORIO
NUMAT/CHEFIA-SL 020-A
SALA A138
SALA PERITOS/DEP. INFORMÁTICA/SETEC - SL D212A
SALA C56 - T&D/SR
NUMAT-COMISSÃO 2014
NTI
SIP - SALA 4 INATIVADA
SUPORTE TÉCNICO/NTI/DF
SALA B212 - CPAAB
SALA 218 GABINETE/DELEFAZ/DF
SALA A113 - PAPILOSCOPISTAS
SALA A03 - COMISSÃO DE LICITAÇÃO
SALA C-46 PLANTAO/DELEGADO/DREX
SALA B125 SEC/DREX/SR/PF/DF
SALA B27 - SECRETARIA/NUCOR/COR
SALA C215
SALA C227
SALA A118 - SECRETARIA
SALA A102 REUNIAO
SALA C222
SALA C218
SALA A112 - PAPILOSCOPISTAS
SALA A102 NO E NA
SALA A115 - PAPILOSCOPISTAS
SETEC/
DELEPAT-DF
SECRETARIA
SINARM - SL 3
*** MIGRACAO (SR/DPF/DF)-> NUCLEO DE TRANSPORTES -> NUTRAN - PLANTAO
SALA C54 - CHEFIA/DELESP
DEPOSITO DELESP SUBSOLO
SALA A101
SALA A19 DRE
GID/DREX/DF
NUMAT-BENS PARA BAIXA
00-SL TECNICA1º PISO-SUPORTE-117 AB
SALA A104
PERICIA/NID/DREX/SR/PF/DF
SRH
SINIC/NID/DREX/SR/PF/DF
SALA C47 - CHEFIA/DELEAQ
SALA 9 DELECOR
SECRETATRIA
SIP CORREDOR
SALA 115B CHEFIA DO NTI
SALA DE PERITOS/SETEC-SL D210-DITEC
SALA 216 DELEFAZ/DREX/SR/DPF/DF
T-06 DF NTI TÉRREO SALA INFORMÁTICA
SALA A102 HALL CENTRAL
COPA 1º PISO
SALA C55-SGP
SALA B134
SALA A18-3
SALA C224 - ANALISE
SALA A14 - PROTOCOLO
SALA 237A/B-DELEFAZ
SALA 105 - ASSESSORIA
DEPOSITO COOPRECRED GRANDES APREENSÕES 1/NUPROC
COPA/PLANTÃO
SALA A106
SALA C217 SECRETARIA
SALA C147
GAB/SR
SALA C155
SALA C148
SALA B207
SALA C150
ALOJAMENTO 02/PLANTÃO
T&D 
SALA C140
GARAGEM CONSERVAÇAO E LIMPEZA
SALA 148-NO/DELEFAZ
SALA C143
SALA C216
SALA 9 A-SEC/DELINST
SALA C43-ATENDIMENTO DELEAQ
SALA C220 - CHEFIA
SALA C44-PLANTAO/DREX
SALA A20 CARTORIO DRE
SALA A02 - SUBSTITUTO SELOG
SALA B33 - SECRETARIA/NUDIS/COR
SALA C156
SALA 215A/B DELEFAZ/DREX/SR/DPF/DF
SALA 204A/B-DELEFAZ
DRCOR - SL 223 A
SALA A114 - IDENTIFICAÇAO
SALA B34 - CPD
SALA C49 - NUCPQ/DELEAQ
SALA C142
SALA 107 - REUNIÃO
SALA B132 SECRETARIA SR/DF
SALA A25 NA 3 DRE
SALA C225
SALA A24 NA 2 DRE
*** MIGRACAO (SR/DPF/DF)-> SETOR TECNICO CIENTIFICO -> SALA 149
SALA A21 CHEFIA DRE
SALA B205
ESCRITÓRIO2/NID/DREX/SR/PF/DF
RECEPÇAO
SALA A109
*** MIGRACAO (SR/DPF/DF)-> DEL. DE REP. A CRIMES CONTRA O MEIO AMB. E PAT. HISTORICO -> NO/DELEMAPH SALA 013
NO/DELEMAPH/DRCOR/SR/PF/DF
SALA C48 - ATENDIMENTO/DELESP
CORREDOR C DELESP
BANHEIROS DRE
