SALA DOAÇÃO/NUMAT/SELOG/SR/PF/BA
POSTO FEIRA DE SANTANA
AITAC-ASSOCIAÇÃO INDIGINA TUPINAMBÁ-NAD/DPF/ILS/BA
ALOJAMENTO/DPF/ILS/BA
LOCALIDADE PROVISORIA
RECOLHIMENTO INFORMATICA/ETC/SRBA
SALA EXTENSÃO CARTÓRIO/DPF/BRA
SALA NO/CARTÓRIO/DPF/BRA
CONAB
SAC/BARREIRA/DPF/BRA/BA
BENS NÃO INVENTARIADOS BRABA/DPF/BRA/BA
SALA 19/CARTÓRIO/NUCART/DPF/PSO
SALA 15 CARTORIO/DPF/PSO/BA
SALA CARTÓRIO
SALA SUBSOLO/NAD/DPF/PSO
SALA 03/NO/DPF/PSO
SALA 17/SECRETARIA/NUCART/DPF/PSO
SALA 16/NUCART/DPF/PSO
SALA 01/ DELEGADO CHEFE/DPF/BRA/BA
SALA ANTIGA SEDE/DPF/BRA
SALA PROTOCOLO/AEROP/DPF/PSO
SALA 04/IMIGRAÇÃO/DPF/PSO
121-NUMAT/SELOG/SR/PF/BA
LOTE 02/PROJETO LER NA PRAÇA
TERMO PARA DOAÇÃO/DPF/BRA/BA
RECOLHIMENTO/MOBILIARIO GERAL/DPF/BRA/BA
NO/NÚCLEO DE OPERAÇÕES/NEPOM/DREX/SR/PF/BA
DPT/DEPARTAMENTO DE POLICIA TÉCNICA/NAD/SELOG/PF/SR/BA
BENS NÃO INVENTARIADOS/DELEFIN/DRCOR/SR/PF/BA
NTI/NUCLEO DE INFORMAÇÕES/DPF8BRA/BA
SALA DE CONVIVÊNCIA/DPF/PSO
BENS PARA DESFAZIMENTO
SALAS 03/05- NOA/NO/DPF/PSO/BA
SA/NAD/DPF/ZJO/BA
BENS A LOCALIZAR DPF/JZO/BA INVENTÁRIO 2022
SALA NÚCLEO DE ANÁLISE DPF JZO
NUMIG-NPA/DPF/PSO/BA
CHEFIA/DREX/DRE/SR/DPF/BA
GABINETE CHEFIA/JZO
SALA 201 DRE/DRPJ
SALA GABINETE 1/DPF/JZO
SALA PLANTÃO/DPF/PSO
SALA UIP/DPF/JZO
SALA DE CABEAMENTO/NTI/TERCEIRO ANDAR
UTRAN MOBILIÁRIO/UTRAN/SELOG/SR/PF/BA
PAV4/SALA 407/NUCOR/COR/SR/PF/BA
PAV1 - SALA 120 - NUMAT CHEFIA
GPI/DREX/SR/PF/BA
GAT/BA - ARMARIA
UARM-UNIDADE DE ARMAMENTO-NPA/DPF/VDC/BA
UNIDADE DE ARMAMENTO E TIRO/BRA - ARMARIA
SAME/SETOR DE ARMAMENTO/DPF/JZO/BA
Sem localidade
TELEMÁTICA /JZO
SALA 1585-01-CHEFIA/SIP/SR/DPF/BA
DEPÓSITO/SIP/SR/PF/BA
SALA 09/NO/DPF/ILS
NO/BENS NÃO LOCALIZADOS/DPF/ILS/BA
BENS A LOCALIZAR/INFORMATICA/DPF/JZO/BA
POLICIA CIVIL DO ESTADO DA BAHIA
NÃO INVENTARIADOS /DPF/PSO/BA
BENS NÃO INVENTÁRIADO DPF/VDC/BA
SALA/21 UOP/NUCLEO DE OPERAÇÕES
NOA-ANÁLISE/NO/DPF/PSO/BA
SALA SAC/POSTO FEIRA
SALA SAC/UMIG/NPA/DPF/ILS
LOTE 04/INSTITUTO DE CEGOS DA BAHIA
LOTE 05/CLUBE DAS MÃES DE DOM AVELAR
TELEMATICA/NTI
CENTRO COMUNITÁRIO DE PARIPE/NAD/SELOG/SR/PF/BA
RECOLHIMENTO MOBILIARIO GERAL/SRBA
SALA ARQUIVO/SINARM/DELEAQ
SALAS 04/06 NOA/NO/DPF/PSO/BA
ANTIGA ANSEF NUMAT SELOG SR PF BA
SECRETARIA DO ESPORTE E LASER
SETOR NPA/NUMIG/DELEMIG/DREX/PSO/DPF/BA
UNIDADE DE ARMAMENTO E TIRO/PSO - ARMARIA
RECOLHIMENTO/UTRAN/VEICULOS
SALA UTRAN/DPF/JZO
SALA NO/CORREDOR/DPF/BRA
DEPÓSITO-ANSEF
SALA DE OPERADORES
BENS NÃO INVENTARIADOS NO/DREX/SR/PF/BA
NO/NUCLEO DE OPERAÇÕES/DELEPREV/DRCOR/SR/DPF/BA
1577 03/SALA DE APOIO/COR/SR/DPF/BA
401 SETEC - GPQUIM - SALA DE PERITOS
NTI/CHEFIA/SALA 234
CARTORIO
LAR PÉROLAS DE CRISTO/NAD/SELOG/SR/PF/BA
SECRETARIA/NTI - SALA 233
DELEFAZ  .
SALA TEMPORARIA
PAV1 - SALA 101 - NID/DREX/SR/BA
BENS NÃO INVENTARIADOS/DELEAQ/DREX/SR/PF/BA
NUCLEO DE OPERAÇÃO/DELESP/DREX/SR/PF/BA
BENS NÃO INVENTÁRIADOS/DELESP/DREX/SR/PF/BA
PAV1 - SALA 116 - BENS A DISTRIBUIR
SALA 11/NTI/DPF/VDC
SALA 20-FORÇA INTEGRADA DE COMBATE AO CRIME ORGANIZADO - FICCO- DPF/ILS/BA
SALA 237
BENS ACAUTELADOS NTI
UTRAN VEICULOS/SELOG/SR/PF/BA
SALA LANCHA JUBART
/RECOLHIMENTO/VEICULOS/RADIOS/PSO 
1584-BENS NÃO INVENTARIADOS/SETEC/SR/DPF/BA
DEPOSITO/GBE/SETEC/SR/DPF/BA
SALA LABOLATORIO BALISTICO/SETEC/SR/DPF/BA
ANSEF/DEPÓSITO/PORTA DE VIDRO FUME
PASTA PARA DOAÇÃO DPT/DPF/VDC/BA
PAV1/SALA 112/COMPLEXO DEPÓSITO
422 GPQUIM-ALMOXERIFADO DE MATERIAIS
RECOLHIMENTO MOBILIARIO GERAL/JZO
NTI/SR/PF/BA
BENS NÃO INVENTÁRIADOS/NUCART/DRCOR/SR/PF/BA
PAV1/SALA 121A/UTRAN/MOBILIÁRIO
SALA NTI/GISE/DRE/DRPJ/SR/PF/BA
DEPÓSITO DEBAIXO DA ESCADA
RECOLHIMENTO/INFORMATICA/ETC/JZO
*** MIGRACAO (SR/DPF/BA) -> SRA/NM/RECOLHIMENTO
NUCLEO DE OPERAÇÕES/JZO
COMUNICAÇÃO AUDITÓRIO SALA 239
BENS NÃO INVENTARIADOS UTRAN/SELOG/SR/PF/BA
BENS NÃO INVENTARIADOS GAB CHEFIA/SR/PF/BA
GAT/BA-BENS NÃO INVENTARIADOS
SALA 09/UTI/DPF/PSO
1585-05/UNIDADE DE ANALISE/SIP/SR/DPF/BA
COR/SALA 73/ NUAIN COR/SR/DPF/BA
NPAER 1º ANDAR/EMBARQUE/DELEMIG/DREX/SR/PF/BA
420 GPQUIM-LAB
RECOLHIMENTO MOBILIARIO GERAL/PSO
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
BENS NÃO INVENTARIADOS CONFREG/SELOG/SR/PF/BA
NPV/DELEMIG/DREX/SR/DPF/BA
BENS NÃO INVENTARIADOS DPF/ILS/BA
LOTE 05/POLICIA MILITAR
PAV3 - SALA 305 - SELOG
SALA/RECOLHIMENTO/INFORMATICA/ETC.
SALA 101/DELEAQ/DREX
SALA 02/UIP/NA/DPF/PSO
NPAER/DELEMIG/DREX/SR/DPF/BA
SALA DO GUARDIÃO - NTI/DPF/VDC/BA
451 GPINF-SALA DE RACK
 RECEPÇÃO
PAV2/SALA 202/NA/DELECOR/DRPJ/SR/PF/BA
PAV 1/SALA 119/UAMB/SR/PF/BA
PAV3/SALA 328/NUCART/CHEFIA
ARQUIVO/SRH/SR/PF/BA
450 GPINF-LABORATÓRIO
452 GPENG-SALA DE PERITOS
447 GPINF-SALA DE PERITOS
1574-02/CHEFIA /DELESP/DREX/SR/PF/BA
GPV-SETEC
SALA NPAER/CHEFIA
PAV1/SALA 121/UTRAN/MOBILIÁRIO
AITGP - ASSOCIAÇÃO INDIGINA TUPINAMBÁ GRUPO PARANÁ
443 GPEX
SALA CHEFIA/NO/DELEMIG/SR/PF/BA
BENS NÃO INVENTARIADOS/CADASTRO/DELEMIG/DREX/SR/PF/BA
BENS NÃO INVENTARIADOS - DELINST/DRCOR/SR/PF/BA
SALA DEPÓSITO/NAD/DPF/ILS
ASSOCIAÇÃO FÉ E VIDA/NAD/SELOG/SR/PF/BA
SALA INFORMÁTICA/DPF/BRA
BENS NÃO LOCALIZADOS/NUCLEO DE INFORMAÇÃO/DPF/PSO/BA
RECOLHIMENTO POSTO FEIRA/DREX/SR/PF/BA
SALA INFORMÁTICA/DPF/PSO
BENS NAO INVENTARIADOS CHEFIA-DRCOR/SR/PF/BA
BENS NÃO INVENTARIADOS/CHEFIA/DELEMIG/DREX/SR/PF/BA
SALA 01/INFORMÁTICA/AEROP/DPF/PSO
BENS NÃO INVENTARIADOS DELEPREV/DRCOR/SR/PF/BA
 COMUNICAÇÃO SOCIAL/GAB/SR/DPF/BA
DREX/NUTRAN/RECOLHIMENTO/VEICULOS
PAV 1/GAT/BA/SALA 114/CHEFIA
BENS NÃO INVENTARIADOS DREX CHEFIA/DREX/SR/PF/BA
413 SETEC-SECRETARIA
1584/SALA DEPOSITO DE MATERIAL/SETEC/SR/DPF/BA
SALA 18/ARMARIA/NO/DPF/PSO
PAV3 SALA 329 - NO
COLEGIO ESTADUAL SATELITE/NAD/SELOG/SR/PF/BA
BENS NÃO INVENTARIADOS GPI/DREX/SR/PF/BA
SETRA/SETOR DE TRANSPORTE /JZO
SALA LABORATÓRIOS/NUTEC/DPF/JZO
NAD/CHEFIA/DPF/PSO/BA
SALA/ 19 DPF LEÃO DPF/ILS/BA
PAV4 - SALA 437 - DREX/SR/BA
SALA 12/ NAD DEPOSITO 03
SALA RECEPÇÃO/DPF/JZO
SALA GABINETE 04/DPF/JZO
ALOJAMENTO/JZO
SALA GABINETE 3/DPF/JZO
SALA GABINETE 2/DPF/JZO
SALA UARM/DPF/JZO
SALA UMIG/DPF/JZO
UTEC/SECRETÁRIA
UTEC-CHEFIA
UTEC PERICIAS CONTABEIS/DPF/JZO/BA
SALA DE PERITOS/NUTEC/DPF/JZO
SALA 03 DPF WILSON BISPO/NUCART/DPF/JZO/BA
SALA ESCRIVÃO 2/DPF/JZO
SALA PQCV/DPF/JZO
SALA SAME/DPF/JZO
PAV2 - SALA 232 - NO/DREX/SR/BA
SALA CARTÓRIO/DPF/JZO
NÚCLEO DE INTELIGENCIA POLICIAL/DPF/JZO/BA
SALA MANUTENÇÃO/NAD/DPF/VDC
BENS NÃO INVENTARIADOS/GID/DREX/SR/PF/BA
SALA COPA/DPF/JZO
BENS PARA DESFAZIMENTO DPF/JZO/BA INVENTÁRIO 2022
SALA 02 DPF LEONARDO BONECKER/NUCART/DPF/JZO/BA
SALA 01 DPF AMARO JOSÉ/NUCART/DPF/JZO/BA
NÚCLEO DE ANÁLISE
SALA 13/ DPF DENISE DIAS/DPF/ILS/BA
NUMAT - COPA 1º E 2º ANDARES
RECOLHIMENTO MOBILIARIO GERAL/DPF/VDC/BA
PAV1/SALA 116/UTRAN/MOBILIÁRIO
 RECOLHIMENTO/INFORMATICA/ETC/PSO
SALA DOAÇÃO POLICIA MILITAR/GÊMEOS
RECOLHIMENTO/RADIOS/COLETES/ETC/SR/BA
BENS PARA DOAÇÃO BOPE
SALA 24 RECEPÇÃO DO GABINETE-DPF/PSO/BA
PAV4 - SALA 418 - DRPJ/SR/BA
