BINOCULO WEST GERMANY BINOCULOWESTGERMANYZEISS ZEISS 
"CADEIRA GIR. P/DAT. COR PRETA, HASTE C/RODIZIOS DUPLOS NYLON CADEIRAGIR_P__DAT_CORPRETA HASTEC__RODIZIOSDUPLOSNYLONDANNA DANNA 1283-I"
FRIGOBAR GELADEIRATIPOFRIGOBAR CAPACIDADE120LT CORBRANCA 220VCONSUL CONSUL CRT12BBBNA
FRIGOBAR GELADEIRADOMESTICA CORBRANCA 120LTSCONSUL CONSUL CRT12BNNA
FRIGOBAR REFRIGERADORDOMESTICO 120LTS__FRIGOBAR_CONSUL CONSUL CRT12CBBNA
"ARMARIO  DE MADEIRA 80X50X106CM COR MARFIM, COM PORTAS ARMARIODEMADEIRA80X50X106CMCORMARFIM COMPORTASTECNO TECNO ARMARIO MEDIO"
"ARMARIO  DE MADEIRA 80X50X74CM COR MARFIM, COM PORTAS DE GIR ARMARIODEMADEIRA80X50X74CMCORMARFIM COMPORTASDEGIRTECNO TECNO ARMARIO BAIXO"
"ESTACAO DE TRABALHO, DIVISORIA,LAMINADO MARFIM ESTACAODETRABALHO DIVISORIA LAMINADOMARFIMTECNO TECNO ESTACAO"
"GAVETEIRO MOVEL,TIPO MADEIRA AGLOMERADO,C/04 GAV./COR MARFIM GAVETEIROMOVEL TIPOMADEIRAAGLOMERADO C__04GAV___CORMARFIMGIROFLEX GIROFLEX "
TRANSFORMADOR DE VOLTAGEM COM POTENCIA DE 1KVA TRANSFORMADORDEVOLTAGEMCOMPOTENCIADE1KVAMAGNETICS MAGNETICS 
"GAVETEIRO VOLANTE, COM 04 GAVETAS,COR MARFIM. GAVETEIROVOLANTE COM04GAVETAS CORMARFIM_OFFICEBRASIL OFFICEBRASIL GAVETEIRO"
"GAVETEIRO VOLANTE,LAMINADO,COR MARFIM. GAVETEIROVOLANTE LAMINADO CORMARFIM_OFFICEBRASIL OFFICEBRASIL GAVETEIRO"
"GAVETEIRO VOLANTE, COM 04 GAVETAS,LAMINADO,COR MARFIM. GAVETEIROVOLANTE COM04GAVETAS LAMINADO CORMARFIM_OFFICEBRASIL OFFICEBRASIL GAVETEIRO"
"ESTABILIZADOR DE TENSAO, BIVOLT AUTOMATICO ESTABILIZADORDETENSAO BIVOLTAUTOMATICOSMS SMS AP PROGRESSIVE"
"SISTEMA NO BREAK ACIMA 3 KVA, 110/220, BACK LIGHT, SENOIDAL SISTEMANOBREAKACIMA3KVA 110__220 BACKLIGHT SENOIDALENGETRON ENGETRON BACK LIGHT"
"ARMARIO BAIXO DE MAD,C/02 PORTAS FRONTAIS, COR MARFIM ARMARIOBAIXODEMAD C__02PORTASFRONTAIS CORMARFIMMARTINUCCI MARTINUCCI ARMARIO BAIXO"
"ARMARIO DE MAD,C/02 PORTAS FRONTAIS,E 3 PRATILEIRAS, MARFIM ARMARIODEMAD C__02PORTASFRONTAIS E3PRATILEIRAS MARFIMMARTINUCCI MARTINUCCI ARMARIO ALTO"
"ARMARIO DE MAD,C/02 PORTAS FRONTAIS,E 3 GAVETOES,COR MARFIM ARMARIODEMAD C__02PORTASFRONTAIS E3GAVETOES CORMARFIMMARTINUCCI MARTINUCCI ARMARIO ALTO_TIPO GAVETAO"
"ESTACAO DE TRABALHO C/CONEXOES SEMI-CIRCULAR,MAD,MARFIM ESTACAODETRABALHOC__CONEXOESSEMI-CIRCULAR MAD MARFIMMARTINUCCI MARTINUCCI ESTACAO DE TRABALHO"
"ARMARIO DE MADEIRA C/2 PORTAS FRONTAIS, 1 PRATI, COR MARFIM ARMARIODEMADEIRAC__2PORTASFRONTAIS 1PRATI CORMARFIMMARTINUCCI MARTINUCCI ARMARIO SEMI-ABERTO"
"ARMARIO ALTO DE MAD,C/2 PORTAS FRONTAIS,C/3 PRATI, MARFIM ARMARIOALTODEMAD C__2PORTASFRONTAIS C__3PRATI MARFIMMARTINUCCI MARTINUCCI ARMARIO ALTO"
